total_nacional_region__,comuna_56__,total__numero_de_upa7,total__superficie_ha,tamano_de_la_upa__menores_de_1_ha__numero_de_upa,tamano_de_la_upa__menores_de_1_ha__superficie_ha,tamano_de_la_upa__de_1_a_menos_de_5_ha__numero_de_upa,tamano_de_la_upa__de_1_a_menos_de_5_ha__superficie_ha,tamano_de_la_upa__de_5_a_menos_de_1ha__numero_de_upa,tamano_de_la_upa__de_5_a_menos_de_1ha__superficie_ha,tamano_de_la_upa__de_1a_menos_de_2ha__numero_de_upa,tamano_de_la_upa__de_1a_menos_de_2ha__superficie_ha,tamano_de_la_upa__de_2a_menos_de_5ha__numero_de_upa,tamano_de_la_upa__de_2a_menos_de_5ha__superficie_ha,tamano_de_la_upa__de_5a_menos_de_10ha__numero_de_upa,tamano_de_la_upa__de_5a_menos_de_10ha__superficie_ha,tamano_de_la_upa__de_10a_menos_de_20ha__numero_de_upa,tamano_de_la_upa__de_10a_menos_de_20ha__superficie_ha,tamano_de_la_upa__de_20a_menos_de_50ha__numero_de_upa,tamano_de_la_upa__de_20a_menos_de_50ha__superficie_ha,tamano_de_la_upa__de_50a_menos_de_1.00ha__numero_de_upa,tamano_de_la_upa__de_50a_menos_de_1.00ha__superficie_ha,tamano_de_la_upa__de_1.00a_menos_de_2.00ha__numero_de_upa,tamano_de_la_upa__de_1.00a_menos_de_2.00ha__superficie_ha,tamano_de_la_upa__de_2.00ha_y_mas__numero_de_upa,tamano_de_la_upa__de_2.00ha_y_mas__superficie_ha
Región de Antofagasta,Mejillones/Sierra Gorda,12,1412336.64,11,4.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1412331.87
Región de Antofagasta,Tocopilla/María Elena,5,1191148.16,3,0.63,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1191143.53
Región de Atacama,Total Región,1352,4463454.24,251,128.179,674,1607.766,155,1033.86,96,1301.5405,75,2263.964,36,2421.816,23,3070.4795,16,4804.5765,4,2721.116,7,9204.38,15,4434896.5625
Región de Atacama,Tierra Amarilla,113,850927.21,10,3.01,29,75.42,11,76.2,7,96.62,16,475.74,8,559.04,11,1518.72,7,1984.28,2,1361.9,2,3153.57,10,841622.71
Región de Atacama,Copiapó/Caldera,208,1072608.812,29,14.982,103,234.83,28,190.87,20,262.35,10,328.3,8,565.02,2,220.3,4,1317.58,1,841.09,2,2283,1,1066350.49
Región de Atacama,Chañaral/Diego de Almagro,15,2110528.72,9,2.65,3,3.5,0,0,0,0,1,34,0,0,0,0,0,0,0,0,0,0,2,2110488.57
Región de Atacama,Vallenar,257,189251.9650000016,31,15.72,126,317.2949999999,27,175.97,23,306.39,25,825.9000000017,15,996.43,6,794.4,2,520.7075,0,0,0,0,2,185299.1525
Región de Atacama,Alto del Carmen,469,184018.4329999983,110,62.301,269,627.756,47,306.05,21,288.23,12,359.714,1,52.556,2,228.08,1,351,1,518.126,2,2737.0099999983,3,178487.61
Región de Atacama,Freirina,131,2796.446,43,17.756,48,120.41,8,53.63,15,223.5505,11,277.36,2,144.85,1,186.8695,2,771.22,0,0,1,1000.8,0,0
Región de Atacama,Huasco,180,53322.6540000001,22,13.26,102,244.0250000001,35,236.689,11,138.8,5,157.35,2,149.72,1,160,0,0,0,0,0,0,2,52222.81
Región de Coquimbo,Total Región,6929,1895692.284,867,432.79225,2976,7081.3765,1178,7893.8950000001,929,11961.297,506,14383.19555,144,9732.7735,88,12278.831425,79,25164.858775,35,25794.053,37,53270.1875,90,1727699.0235
Región de Coquimbo,La Serena,485,154447.4500000023,75,37.40125,207,426.03625,66,453.24,81,1041,25,719.7700000023,11,725.64,5,595,6,1553.9325,3,2124.23,2,2700,4,144071.2
Región de Coquimbo,Coquimbo,419,72681.5059999977,92,47.346,160,332.67875,67,458.565,47,581.23,29,846.43625,7,531.98,4,550.76,7,2584.4599999977,1,789.36,2,2762.88,3,63195.81
Región de Coquimbo,Andacollo,126,780.51,13,6.537,61,156.39,3,21.7,47,474.863,1,23,1,98.02,0,0,0,0,0,0,0,0,0,0
Región de Coquimbo,La Higuera,104,94750.09,20,10.03,54,120.56,7,38.2,12,135.95,5,149.6225,1,51,0,0,0,0,1,772.6,0,0,4,93472.1275
Región de Coquimbo,Paiguano,143,144241.038,35,18.309,52,114.903,15,103.816,12,159.26,9,260.1,8,550.167,4,628.833,3,847.2,0,0,0,0,5,141558.45
Región de Coquimbo,Vicuña,212,394719.627,40,21.045,46,114.52,29,199.934,30,357.261,29,856.009,5,295.22,12,1757.54,6,2109.565,3,2292.133,1,1356.5,11,385359.9
Región de Coquimbo,Illapel,500,182395.8540000001,44,20.462,203,455.594,107,747.9390000001,69,971.156,47,1306.91,15,1007.63,5,730.98,3,999.75,2,1762.5,2,2186,3,172206.933
Región de Coquimbo,Canela,799,100409.035,42,21.137,384,900.558,165,1139.263,134,1716.44,33,911.972,6,422.7,11,1654.425,6,2122.67,4,3559.2,5,7162.77,9,80797.9
Región de Coquimbo,Los Vilos,310,78586.89,21,7.355,139,307.706,43,264.965,24,307.99,37,1171.529,10,675.87,12,1686.28,6,2069.015,4,2315,5,6525.2,9,63255.98
Región de Coquimbo,Salamanca,805,185730.768,129,61.219,378,998.355,149,1033.691,95,1265.727,36,1038.3068,6,424.8,2,239.85,3,937.1592,1,743.47,0,0,6,178988.19
Región de Coquimbo,Ovalle,1101,109956.219,105,54.449,364,895.07375,163,1097.89625,179,2353.01,159,4551.705,50,3303.095,32,4412.2275,19,5972.79,10,7517.04,10,14834.7625,10,64964.17
Región de Coquimbo,Combarbalá,669,110660.607,45,17.016,297,774.665,175,1133.301,89,1160.885,30,833.25,9,603,1,100,5,1315.77,3,2530.7,6,8916,9,93276.02
Región de Coquimbo,Monte Patria,482,146232.86,102,56.032,222,498.18,57,373.1225,29,400.01,19,559.09,7,459.19,9,1236.32,16,4413.6175,5,3280.79,7,11388.388,9,123568.12
Región de Coquimbo,Punitaqui,621,41386.563,52,23.963,315,755.00875,107,664.50125,79,1015.985,43,1087.655,10,648.1165,4,547.466925,2,515.096575,2,1300,3,3678.77,4,31150
Región de Coquimbo,Río Hurtado,228,78713.267,62,34.843,105,257.068,28,186.876,13,172.66,10,267.285,4,307.88,1,127,0,0,1,684.82,0,0,4,76674.835
Región de Valparaíso,Total Región,5484,645112.9466999999,869,429.3950483871,1931,4823.6536999999,925,6340.4170403225,579,7806.2330000001,473,14695.9256758063,238,15988.8471806452,168,23473.3388048388,140,44016.99675,67,45301.77075,54,73971.37625,40,408264.9924999999
Región de Valparaíso,Casablanca,235,47629.8760000967,32,14.81325,54,114.70075,26,186.07,15,228.362,27,768.2725,11,767.5,24,3365.27,19,6090.02,14,9974.7199999969,9,13548.4075,4,12571.7400000998
Región de Valparaíso,Juan Fernández,1,9573.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9573.05
Región de Valparaíso,Puchuncaví,88,8279.903,9,4.095,26,67.27625,13,86.9,17,240.07,6,184.015,8,515.45,5,813.5967499999999,1,233.5,1,675,1,1760,1,3700
Región de Valparaíso,Quintero,42,5443.06,10,3.93,4,9.05,5,33.455,2,20.225,8,300.46,4,263.08,3,414.46,3,1047.05,1,515.35,2,2836,0,0
Región de Valparaíso,Valparaíso/Viña del Mar/ Concón,27,14269.3459999002,3,1.536,7,17.8400000001,1,8.83,5,62.56,5,137,1,70,2,267,1,305,0,0,0,0,2,13399.5799999001
Región de Valparaíso,Isla de Pascua,17,3014.41,1,0.97,6,20.22,7,46.12,2,24.64,0,0,0,0,0,0,0,0,0,0,0,0,1,2922.46
Región de Valparaíso,Los Andes,25,54235.6360000001,3,1.57,3,5.1300000001,2,10.9,3,40.59,4,112.44,4,255.04,1,128.67,3,710.296,0,0,0,0,2,52971
Región de Valparaíso,Calle Larga,107,27784.5200000003,1,0.32,16,39.72,33,220.1999999999,21,309.95,25,699.9374999999,4,261.68,4,518.1225000004999,1,388.13,0,0,1,1654.46,1,23692
Región de Valparaíso,Rinconada,54,2566.4180000006,6,2.1,10,32.29,5,35.9787500002,12,174.79,10,322.0512500004,4,285.928,4,482.76,2,631.4000000000001,1,599.12,0,0,0,0
Región de Valparaíso,San Esteban,147,4506.12,6,3.6,33,83.7660499998,35,240.7450000002,37,528.644,17,520.64,12,782.72,5,628.34995,1,495,0,0,1,1222.655,0,0
Región de Valparaíso,La Ligua,460,47667.7320000054,82,35.628,164,412.9719999998,82,584.209,31,427.943,39,1287.44,15,1062.140000001,11,1584.2,24,7856.01,2,1249.34,6,8227.73,4,24940.1200000046
Región de Valparaíso,Cabildo,209,84471.4609999992,23,11.9890000002,52,133.873249999,54,348.845,18,240.74975,20,676.95,9,576.25,11,1559.01,4,1044.17375,6,4297.9805,6,7673.09025,6,67908.5495
Región de Valparaíso,Papudo,22,13257.95,3,1.1,8,26.39865,4,22.7845,1,17.2,1,46.11,2,156.20435,0,0,0,0,0,0,0,0,3,12988.1525
Región de Valparaíso,Petorca,209,13035.240490039,33,17.98,108,252.744,26,182.177490039,18,234.96,9,238.439,5,382.3175,1,105.89,3,1080.35,3,2219.1825,2,2362,1,5959.2
Región de Valparaíso,Zapallar,51,9145.586,3,0.966,11,30.755,3,19.61,4,56,5,171,9,573.8,6,843.655,3,853,4,2810,3,3786.8,0,0
Región de Valparaíso,Quillota,594,11620.268500013,165,76.954,275,596.2945,48,316.1835,50,651.949500008,27,830.607000005,9,588.0705,5,723.63,10,3473.084,2,1235.27,3,3128.2255,0,0
Región de Valparaíso,Calera,136,1771.2750000068,52,20.795,43,119.7072500068,16,113.22,7,97.86775,11,377.285,3,193.5,2,282,2,566.9,0,0,0,0,0,0
Región de Valparaíso,Hijuelas,460,12584.8569999994,83,44.2795,208,570.2005,84,559.4737499994,33,446.71,23,679.3525,9,590.41875,10,1311.46,4,1111.73,3,2273.29,2,2850.942,1,2147
Región de Valparaíso,La Cruz,213,3024.3679999878,31,18.097,99,245.7139435475,37,261.5575403225,19,263.9650000006,12,365.709516129,5,282.14,7,847.669999995,3,739.5149999932,0,0,0,0,0,0
Región de Valparaíso,Nogales,237,19651.2785099584,22,10.095,87,235.01,63,430.48875,24,326.365009961,21,698.769750002,8,532.575,2,316,5,1750.3149999954,1,508.04,1,1346.1,3,13497.52
Región de Valparaíso,San Antonio,143,22864.179,9,4.093,32,81.976,15,100.9,21,296.2,13,452.22,11,811.5475,15,2104.0925,11,3140.31,10,6007,5,6855.14,1,3010.7
Región de Valparaíso,Algarrobo,89,3584.58,6,2.91,20,58.99,14,102.9,18,238.55,19,574.53,4,265.25,4,572.15,3,1239.3,1,530,0,0,0,0
Región de Valparaíso,Cartagena,76,9852.109999980199,9,2.73,22,45.3,11,79.43,8,112.9999999802,7,216.02,6,406.13,7,1027.33,0,0,2,1764.9,2,2100,2,4097.27
Región de Valparaíso,Santo Domingo,319,36410.5229999951,17,11.29,89,231.24475,52,343.95,33,450.79625,42,1445.3075,40,2801.3025,15,1992.77,14,4614.878999992,7,4629.22,6,9221.17,4,10668.5930000031
Región de Valparaíso,El Quisco/El Tabo,35,9894.6720000198,4,0.382,10,23.12,2,12.7,3,36,3,88.8,5,318.65,2,309,3,1041,2,1332.9000000198,0,0,1,6732.12
Región de Valparaíso,San Felipe,278,12231.4151999958,57,27.025,83,211.7242500003,47,333.9437499982,42,568.0512499995,23,722.5182,12,840.4285,7,1097.2642499978,4,1329.85,1,717.93,1,1001.5,1,5381.18
Región de Valparaíso,Catemu,163,13112.4069999776,22,10.417,38,106.97,28,192.647499998,30,407.93,21,652.8899999796,12,779.5515,7,1046.401,2,526,1,520,1,1552.6,1,7317
Región de Valparaíso,Llaillay,118,20535.2460000034,4,1.3635483871,23,66.5,41,272.85375,22,298.0625,8,247.8837096774,5,336.9121370977,5,629.7703548412001,3,890.9200000000001,2,1250,1,1800,4,14740.98
Región de Valparaíso,Panquehue,135,7278.0630000163,32,15.967,28,64.06,23,169.31,16,214.0099999983,11,336.9899999987,10,616.504,9,1196.965,1,450.6,3,1836.0370000193,2,2377.62,0,0
Región de Valparaíso,Putaendo,343,61066.0410000027,59,32.9179999999,132,349.2330000007,74,523.9999999996,39,511.0500000008,27,772.4200000017,7,463.88,3,382.01,1,225.53,0,0,0,0,1,57805
Región de Valparaíso,Santa María,212,3971.734000002,27,16.2225,78,198.0814999998,32,220.87,35,509.207,23,748.46,11,855.7,4,588.4900000022,1,305.103,1,529.6,0,0,0,0
Región de Valparaíso,Quilpué,96,23401.23,15,6.69,41,93.37,9,64.7,8,97.375,9,255.29,5,298,3,380,3,676.38,0,0,1,1695.125,2,19834.3
Región de Valparaíso,Limache,264,4832.06,44,23.8,129,303.80375,46,296,19,269.31,14,377.85625,4,271.05,3,418.49,1,327.99,4,2543.76,0,0,0,0
Región de Valparaíso,Olmué,98,21634.715,21,12.61925,44,112.9425,9,68.78625,7,84.42,9,285.10875,0,0,0,0,0,0,3,2422.62075,1,1522,4,17126.2175
Región de Valparaíso,Villa Alemana,53,911.616,10,2.795,16,35.67,11,77.531,4,46.5,6,149.29,4,233.03,1,108,1,258.8,0,0,0,0,0,0
Región Metropolitana de Santiago,Total Región,5530,925334.8514000439,533,261.25085,1515,3867.5629,1045,7386.6596069212,834,11525.2400929037,702,22097.1285885993,389,27007.2921372989,228,31435.035836192,136,43234.0944381288,54,35798.72065,33,42972.83255,61,699749.0337500001
Región Metropolitana de Santiago,Independencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Región Metropolitana de Santiago,La Cisterna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Región Metropolitana de Santiago,La Granja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Región Metropolitana de Santiago,Lo Espejo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Región Metropolitana de Santiago,Macul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Región Metropolitana de Santiago,Maipú,87,6042.2399999981,1,0.3,22,75.13,25,175.21,10,139.4125,15,524.8254999981,9,606.8525,2,228.42,1,269.46,0,0,1,1031.7195,1,2990.91
Región Metropolitana de Santiago,Pudahuel,36,3118.4200000186,0,0,1,4,6,37.69,5,77.08,10,315.5509024416,9,654.4465975603,2,307.07,2,689.5825000167,0,0,1,1033,0,0
Región Metropolitana de Santiago,Quinta Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Región Metropolitana de Santiago,Recoleta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Región Metropolitana de Santiago,San Joaquín,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Región Metropolitana de Santiago,San Miguel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Región Metropolitana de Santiago,G1 Santiago,36,72046.837,12,2.177,5,15.1,0,0,5,67.18,1,30,1,52.5,2,304.16,0,0,0,0,1,1000,9,70575.72
Región Metropolitana de Santiago,G2 Santiago,38,1314.5310000022,7,0.7010000000000001,4,11.4800000022,5,33.2,11,164.3,5,161,1,50,4,647.25,1,246.6,0,0,0,0,0,0
Región Metropolitana de Santiago,G3 Santiago,65,1185.4409999958,14,8.214,25,44.99,5,34.8,9,115.38,4,105.9269999958,5,353.22,2,228.11,1,294.8,0,0,0,0,0,0
Región Metropolitana de Santiago,Puente Alto,27,511.4860000042,3,0.143,6,17.2,8,51.5,4,61.355,4,125.955,1,50.5130000042,0,0,1,204.82,0,0,0,0,0,0
Región Metropolitana de Santiago,Pirque,175,34483.58800004,6,2.59,49,127.1325,34,227.37375,24,319.31375,20,625.625,16,1095.295,10,1293.84,9,2910.87,2,1498.8,2,2703.00800004,3,23679.74
Región Metropolitana de Santiago,San José de Maipo,108,430877.85999996,26,10.28,34,75.53,5,38.5,11,165.62999996,5,141.04,1,81,4,493.04,0,0,2,1461.09,1,1195.1,19,427216.65
Región Metropolitana de Santiago,Colina,196,19212.111700021,12,8.0317,56,136.52,37,248.19,33,439.655,24,777.559000021,14,1035.475,12,1573.461,4,1183.62,1,800,1,1169.24375,2,11840.35625
Región Metropolitana de Santiago,Lampa,199,13249.98,8,5.17,35,102.99,43,317.295,48,630.4,37,1075.75375,15,929.01125,8,1036.7421,2,545.36,2,1168.2579,0,0,1,7439
Región Metropolitana de Santiago,Tiltil,141,14804.224299979,19,11.95,40,103.8474,17,113.4104,14,196.84375,15,536.8,15,1031.91375,9,1325.075,5,1644.429999979,2,1104,3,3705.54,2,5030.414000000001
Región Metropolitana de Santiago,San Bernardo,151,5203.3500000126,7,2.29,32,91.97,28,198.21,25,357.135,34,1066,14,964.1960000125999,8,1247.9,3,1275.649,0,0,0,0,0,0
Región Metropolitana de Santiago,Buin,348,14078.2329999853,59,30.363,78,194.7749999992,55,380.545,41,578.694725,48,1542.5616249992,37,2481.89925,16,2199.979,12,3353.7853999869,1,511.25,0,0,1,2804.38
Región Metropolitana de Santiago,Calera de Tango,132,3972.7660000001,9,4.67,28,70.03999999999999,32,234.9789569212,20,272.9425590753,21,712.6275499971,11,735.108,8,1081.9079340065,3,860.491,0,0,0,0,0,0
Región Metropolitana de Santiago,Paine,747,36171.9040000147,87,46.665,248,636.686,147,1068.4,110,1539.2612500008,90,2866.2287500052,27,1868.66,17,2526.8900000087,13,4075.931325,2,1182.631675,2,2502.76,4,17857.79
Región Metropolitana de Santiago,Melipilla,1199,73926.2570000305,120,58.403,340,903.526,226,1592.5545,179,2519.8377499997,128,4051.9437500028,83,5722.4487499944,49,6658.761250000001,41,12645.67,21,12953.7320000336,7,10664.73,5,16154.65
Región Metropolitana de Santiago,Alhué,130,73916.5654,16,7.1994,36,82.8,21,146.95375,10,139.5,20,552.57425,6,388,2,316,4,1307.065,4,2572.27075,3,4006,8,64398.20225
Región Metropolitana de Santiago,Curacaví,251,15515.5079999867,16,7.378,47,138.34375,64,444.961575,51,701.93125,35,1059.961925,17,1116.1455000004,11,1306.6735,3,863.8425,1,633.88,4,4639.5899999863,2,4602.799999999999
Región Metropolitana de Santiago,María Pinto,287,25039.4840000033,17,7.444,66,163.7,66,491.39375,51,713.5000000003,39,1167.1632499996,15,1084.923,12,1792.8200000034,11,3494.79,3,1976.36,4,4914.51,3,9232.880000000001
Región Metropolitana de Santiago,San Pedro,571,49091.0239999801,32,16.42,186,439.76,82,560.112,75,1010.382,68,2075.48,52,3843.25,41,5493.350500000001,14,4673.6,11,7442.7375,3,4513.7395,7,19022.1924999801
Región Metropolitana de Santiago,Talagante,200,4928.0680000025,13,6.05,45,112.5525,36,247.0754250002,30,432.8499999994,50,1548.8670450242,17,1158.5917799787,7,955.938,2,466.14325,0,0,0,0,0,0
Región Metropolitana de Santiago,El Monte,202,6942.4669999996,7,4.48,48,115.125,48,346.0732500015,39,527.4095,34,1155.4229999981,12,757.33475,9,1186.93225,2,643.0327500000001,2,1103.771,1,1102.8855,0,0
Región Metropolitana de Santiago,Isla de Maipo,214,14022.3260000004,23,12.268,49,122.5085,55,410.187,30,412.2327500006,23,719.81475,17,1166.2024999998,6,789.00725,5,1748.23395,2,1644.695,2,2431.58955,2,4565.58675
Región Metropolitana de Santiago,Padre Hurtado,97,3009.6500000029,11,5.55,21,60.85,13,94.12725,17,247.5575000029,19,625.5675,6,415.89,8,1053.75,2,506.35775,0,0,0,0,0,0
Región Metropolitana de Santiago,Peñaflor,146,2670.5300000063,21,7.78375,52,124.27,24,157.55625,25,348.4308088284,14,436.0240861722,4,260.48,5,638.3651050057,0,0,1,697.62,0,0,0,0
Región del Libertador General Bernardo O'Higgins,Total Región,9130,1137600.488600293,769,369.23515,2273,5960.616025,1537,10984.5896,1563,21559.9951250001,1340,42193.319475,684,49038.907555,413,57204.0461749999,305,92253.9237250001,112,74663.76955,76,108007.4003,58,675364.6859202927
Región del Libertador General Bernardo O'Higgins,Rancagua,205,16621.8729997224,11,6.55,35,88.355,46,331.781,37,502.535,41,1307.092999995,20,1344.959999999,9,1180.719,2,514.02,1,724.82,2,2994.2,1,7626.839999728401
Región del Libertador General Bernardo O'Higgins,Codegua,121,10395.5039999832,10,6.05,21,56.365,27,190.1799999954,12,163.7,25,759.4149999966,8,570.614999998,7,815.8974999932,6,1704.74,2,1052,3,5076.5415,0,0
Región del Libertador General Bernardo O'Higgins,Coinco,224,5785.1800000007,39,20.4,82,196.933,33,223.3375,30,425.1870000003,26,743.4650000004,8,560.0275,1,108.82,2,634.26,2,1323.18,1,1549.57,0,0
Región del Libertador General Bernardo O'Higgins,Coltauco,231,8355.5899997074,20,9.24,78,207.705,46,331.13,36,491.259999999,24,707.7254997084,12,819.384,5,724.4685000000001,7,2254.508,2,1330.899,1,1479.27,0,0
Región del Libertador General Bernardo O'Higgins,Doñihue,158,5839.6930002221,15,8.817,78,216.1448750006,20,141.8125,25,326.745000001,11,368.903625,3,216.18,2,238.32,1,211.6500002205,1,668.63,2,3442.49,0,0
Región del Libertador General Bernardo O'Higgins,Graneros,106,6850.2639997685,5,3.734,14,40.22,20,154.16,16,225.08,18,566.6799999997,17,1182.8200000095,9,1259.0500000034,5,1419.35,1,890.8,1,1108.3699997559,0,0
Región del Libertador General Bernardo O'Higgins,Las Cabras,452,36447.252400243,46,25.19,137,332.0024,89,638.9750000097999,70,970.37,48,1508.798750006,20,1508.87125,11,1519.7,16,4886.1975,4,2678.5975,7,10183.7400002272,4,12194.81
Región del Libertador General Bernardo O'Higgins,Machalí,80,169085.8929999925,10,4.913,22,51.44,16,114.93,9,133.26,11,378.715775,0,0,2,250.9,3,819.2644999925,2,1733.99,0,0,5,165598.479725
Región del Libertador General Bernardo O'Higgins,Malloa,270,14241.193,25,11.664,73,168.309,65,458.31,32,443.29,35,1210.5275,23,1702.39,11,1371.0335,4,1287.369,0,0,1,1038.3,1,6550
Región del Libertador General Bernardo O'Higgins,Mostazal,143,41508.5230000729,16,7.135,28,83.115,12,82.59,30,433.035,19,547.47,10,770.64,9,1194.4900000004,7,2002.708,3,2193.3200000725,3,5031.35,6,29162.67
Región del Libertador General Bernardo O'Higgins,Olivar,120,2428.8030427868,10,4.34,49,112.7,17,124.7050000004,20,270.0874999981,11,346.7549999997,7,415.6855427888,5,805.4499999998,1,349.08,0,0,0,0,0,0
Región del Libertador General Bernardo O'Higgins,Peumo,87,12236.2210000011,16,8.505,27,64.69,13,88.1075,8,112.592125,2,63.6,11,913.4658050011,6,777.336875,1,222.54,1,640.82,1,1306.2,1,8038.363695
Región del Libertador General Bernardo O'Higgins,Pichidegua,569,18220.3400000001,49,24.18,181,451.575,95,672.4875,109,1514.62,66,2017.7875,34,2340.255,19,2622.5975,10,3197.4925,5,3153.2450000001,0,0,1,2226.1
Región del Libertador General Bernardo O'Higgins,Quinta de Tilcoco,190,4778.6799999964,7,3.12,34,93.38374999999999,50,350.87,43,583.1225,33,1113.53125,14,1063.9087499964,7,949.93475,2,620.809,0,0,0,0,0,0
