Total Nacional - Región_0,comuna_6_7_8_1,número__de_upa_2,superficie_(ha)_3,número_de_upa_4,superficie_(ha)_5,número_de_upa_6,superficie_(ha)_7,número_de_upa_8,superficie_(ha)_9,número_de_upa_10,superficie_(ha)_11,número_de_upa_12,superficie_(ha)_13,número_de_upa_14,superficie_(ha)_15,número_de_upa_16,superficie_(ha)_17,número_de_upa_18,superficie_(ha)_19,número_de_upa_20,superficie_(ha)_21,número_de_upa_22,superficie_(ha)_23,número_de_upa_24,superficie_(ha)_25,número_de_upa_26,superficie_(ha)_27,número_de_upa_28,superficie_(ha)_29,número_de_upa_30,superficie_(ha)_31,número_de_upa_32,superficie_(ha)_33,número_de_upa_34,superficie_(ha)_35,número_de_upa_36,superficie_(ha)_37,número_de_upa_38,superficie_(ha)_39
Región de Atacama,alto_del_carmen,4690,1840184329999983,180,2707,170,631,00,00,640,39945,4140,899193,1200,17763,10,05,00,00,10,01,820,87092,270,937,380,40795,50,801,580,857,2230,1801054999998272,760,22181875,1000,158542365,2510,111423
Región de Atacama,freirina,1310,2796446,10,70,00,00,00,00,130,4756,750,19107,00,00,00,00,10,30,20,22,290,33595,50,108,00,00,00,00,30,4707,490,27274,110,32964,460,1070551,1130,55235
Región de Atacama,huasco,1800,5332265400000011,10,20,30,095,10,40,470,21821,1740,7056798853047,20,075,30,0102,00,00,40,068,270,2841,160,1355,10,02,00,00,10,344466,870,30289994265235,40,1553347,560,2209797,1630,51744172043063
Región de Coquimbo,total_región,69290,1895692284,2150,386836,4600,1303888,70,643,15820,601088,38800,2631887,8820,6928298,780,52459,140,78114,680,70367,14220,250449,3550,33545013,4920,3452877,1150,679795,10540,261368633,40480,36483408,6550,803388306,16280,674299069,51830,7738658
Región de Coquimbo,la_serena,4850,1544474500000023,10,10,670,694017923513,00,00,1570,13873224231492,1750,7831635847026,30,440,150,8812,00,00,160,16799,730,191265,370,39598,30,35025,80,2125,220,10096987,3520,2399418,250,12732834,1280,10228758,4110,500087068637451
Región de Coquimbo,coquimbo,4190,7268150599999775,140,20089,580,378592076487,20,218,1710,26072075768508,1800,19291954152974,00,00,150,1183,10,40,230,11318,520,8196,180,2182559,110,222182,70,35436,210,12540336,2390,2438212,390,1493788,540,1233085,3890,986085931362549
Región de Coquimbo,andacollo,1260,78051,20,012,00,00,10,05,90,394,850,6209,00,00,30,03,00,00,10,002,90,695,30,16,30,064,180,1245,20,575,1160,452553,120,9927999999999999,540,9596000000000001,1200,38357
Región de Coquimbo,la_higuera,1040,9475008999999995,00,00,30,1715,00,00,90,409409090909,770,12912318181815,30,490,20,023,00,00,30,101,50,195,20,330,20,610,00,00,30,497,590,27128727272726,50,4055582,570,5353061,420,3702545454545
Región de Coquimbo,paiguano,1430,144241038,00,00,20,002,00,00,70,0632,950,8272090000000001,800,335628,00,00,00,00,10,001,200,309,30,0573,180,693252,10,10,190,19434784,820,6464449999999999,80,51805863,390,70301899,1380,162823
Región de Coquimbo,vicuña,2120,394719627,00,00,50,2615,00,00,300,34015,1270,2727241,530,748125,30,0321,00,00,10,03,300,77975,50,67,70,132076,10,40,140,1048172,1070,2674202,250,10655911,740,27085381,1780,393882
Región de Coquimbo,illapel,5000,1823958540000001,100,83,240,12215,00,00,1310,7393490909091,3310,148001281818185,400,104227,20,0017,00,00,40,14915,1200,88888,580,55785,640,231528,200,36725,1460,36756489,3320,248814072727274,180,75098265,1390,63607891,4480,25476854545455
Región de Coquimbo,canela,7990,100409035,840,138979,1870,6315,00,00,3260,12722,4250,28163,20,201,30,079,10,12,00,00,2850,506502,1130,6702716,310,2477749,190,23655,4000,15848235,4640,3504146,400,6406949,660,6252506,4260,409057
Región de Coquimbo,los_vilos,3100,7858689,30,205,130,456,00,00,640,19121,1800,331558,00,00,10,01,10,12,90,8275,470,7937,80,267785,690,968304,20,1000,500,1313017,1960,2824124,560,41479093,640,8046516,1700,199863
Región de Coquimbo,salamanca,8050,185730768,130,1028,210,1059,00,00,1170,60263,4830,1366767,3030,1060624,40,0434,00,00,20,103,1960,188496,160,567,260,44288,250,39955,790,522837,5060,2015529,230,14673823,1330,33282969,4940,382806
Región de Coquimbo,ovalle,11010,109956219,460,87352,450,65667,00,00,3120,15553,4620,9298725,1630,288975,150,2699,110,71714,40,58,2230,60985,550,14975,90,85625,00,00,1530,109498,4890,6487219,550,4090152,3180,33189706,8080,1463076
Región de Coquimbo,combarbalá,6690,110660607,290,101726,80,2226,00,00,1210,2943,4020,563667,40,57,100,2084,00,00,30,08,1210,169823,210,201749,1580,11577275,60,102,1070,1811668,4610,3023841,1210,6237565,1520,13115367,5850,1364389
Región de Coquimbo,monte_patria,4820,14623286,10,03,70,395,00,00,460,5918,3280,5176604,1120,328895,10,0006,00,00,10,10,410,87295,20,63,70,26412,40,311,150,9033151,2210,3443447,180,1595619,780,2721781,2990,948073
Región de Coquimbo,punitaqui,6210,41386563,70,1525,170,120,40,375,770,410,4230,109697,500,11884,10,048,00,00,00,00,1240,10055,120,1321,820,14562,40,451,200,3082665,3160,2524502,2040,13943855,1900,1725888,5290,484861
Región de Coquimbo,río_hurtado,2280,78713267,50,139,60,136,00,00,120,822,1420,264914,750,171939,30,0065,00,00,00,00,770,282716,50,19,30,1845,00,00,80,2002097,1430,1290342,150,153972,1080,54985537,1820,113504
Región de Valparaíso,total_región,54840,6451129467,2190,2540165,2400,5016,170,1098,14070,35601244,28180,45363849,1140,78999,4690,4224603,350,144939,2400,333889,8460,6939181,2940,24611155,4660,168680023,510,26791,6130,127277805,18970,65694245,2600,86248069,11210,91776427,40700,10330215
Región de Valparaíso,casablanca,2350,4762987600009679,160,27119,90,212,00,00,620,101256,740,628045,480,432057,30,113,10,60,20,106,360,165288,300,470363476492,680,120091615507865,40,730,550,315124,410,3526714075865944,240,6500475,790,9080223,1770,158209660852435
Región de Valparaíso,juan_fernández,10,9573050000000001,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,10,001,00,00,10,150,10,27330,00,00,10,27670,00,00,10,40330,10,001,10,2503
Región de Valparaíso,puchuncaví,880,8279903,100,1335,110,1035,00,00,230,67348,280,101526,10,42,00,00,00,00,60,1095,80,1494,80,21213,180,391849,100,1505,400,2670277,190,113983,250,48242,210,42775,550,91544
Región de Valparaíso,quintero,420,544306,00,00,20,0075,00,00,70,1425,60,9257,00,00,00,00,00,00,40,0099,110,832,70,5140,40,5546,10,05,170,34511,120,225286,30,611255,170,37838,270,2971
Región de Valparaíso,valparaíso/viña_del_mar/_concón,270,1426934599990033,10,10,10,10,00,00,50,114,70,538925407927,00,00,20,07999999999999999,00,00,20,10,60,550,60,457403223508,80,42799684492135,10,05,50,408,100,82778725280234,30,21645,110,417957,180,2614552201179
Región de Valparaíso,isla_de_pascua,170,3014409999999999,00,00,00,00,00,00,140,828,90,5507,00,00,00,00,00,00,10,05,00,00,00,00,00,00,00,00,20,280149,120,16781,10,607,40,6738,150,18015
Región de Valparaíso,los_andes,250,5423563600000012,10,80,00,00,00,00,00,00,170,110084444444456,00,00,00,00,00,00,00,00,40,170,10,1121,30,443422,00,00,10,30000,00,00,00,00,80,569855,90,5783155555555999
Región de Valparaíso,calle_larga,1070,2778452000000038,40,8935,30,271999999986,10,56,50,54,780,168349,10,40,00,00,00,00,00,00,420,270080000001783,00,00,10,12940,00,00,10,176710,270,3158,10,60000,220,20608,560,21252
Región de Valparaíso,rinconada,540,2566418000000509,50,335,30,125000000014,30,105,00,00,350,12007,10,95,00,00,00,00,00,00,220,276674517603817,00,00,00,00,00,00,00,00,90,52792,00,00,180,456973482395292,150,3815
Región de Valparaíso,san_esteban,1470,450612000000005,60,762,10,07,00,00,60,128,1250,206884149122809,30,11622,10,015,00,00,20,35,270,1237,00,00,10,10,00,00,20,80,210,17719,00,00,170,149284,910,42497850877196
Región de Valparaíso,la_ligua,4600,4766773200000538,130,1453384615383,510,9502,00,00,800,7737869230766,2640,1993431945684939,00,00,1320,83119,00,00,60,2255,340,6509,120,8721923076923,230,609675,20,302,650,632234692307692,2460,1935026447074766,250,252499076923075,780,1056605605028209,3420,365961071752306
Región de Valparaíso,cabildo,2090,8447146099999921,40,311615384617,60,138,00,00,180,12423230769234,1810,3545199054315061,00,00,30,009999999999999999,10,05,80,4675,40,31,20,016876923077,50,540771,00,00,120,2384799307692308,1180,190972252925694,60,4130181923076925,320,781113894971791,1760,498185928247694
Región de Valparaíso,papudo,220,1325795,30,455,80,1168,00,00,50,535,80,632,10,40,30,1235,30,95,00,00,60,742,30,8000,10,5000,00,00,50,413346,40,217619,10,54946,40,745,150,183
Región de Valparaíso,petorca,2090,1303524049003904,00,00,50,167,00,00,170,326,1650,11495678446208,10,09,40,0205,00,00,10,014,330,28565,10,05,280,21536,40,225,270,5996097,1170,1563673,130,2083369,620,2090686,1460,9282164541824
Región de Valparaíso,zapallar,510,9145586,140,628,10,05,00,00,50,2465,110,10445,30,528,10,085,00,00,20,051,00,00,00,00,50,9066,10,6990,300,7694953,40,6484,30,1835,80,10825,300,80008
Región de Valparaíso,quillota,5940,11620268500013,30,89,10,012,00,00,3630,8121200000001,1770,22648020000101,30,30637,770,376275,140,28555,320,29701,110,1279,30,73,200,3422366666668,70,17815,100,49029,1240,457826,70,200,880,27422033333337,5450,6860370000011
Región de Valparaíso,calera,1360,177127500000684,10,05,30,36,00,00,160,2452,1010,52496284927289,00,00,170,1135,00,00,90,767,90,196,00,00,20,51288492746,00,00,30,8057,290,39467,20,09,160,63161,1130,6619330145935
Región de Valparaíso,hijuelas,4600,1258485699999935,70,75,130,241,00,00,1200,3414,1840,2530652697227555,30,27208,1550,206915,10,07,480,9929,750,18925,30,69,300,6735347,10,221,70,184,1450,82813,10,05,420,97245,2990,3490323027718
Región de Valparaíso,la_cruz,2130,3024367999987805,00,00,00,00,00,00,310,739100967734,1490,1426153453496555,00,00,180,13819032258,20,3164516129,330,44593,30,105,30,22,70,5580544840574,00,00,00,00,370,2759313548385,30,83652,460,3489896666663,1760,19285039576865
Región de Valparaíso,nogales,2370,1965127850995836,100,423,350,71386363637,00,00,440,96956,1150,25753471553792,10,04,190,1574,40,617,200,24382,370,10555,20,8538900000000001,110,424462,00,00,60,13804,1330,24198454545422,40,130125,200,4983308,1830,147420353639996
Región de Valparaíso,san_antonio,1430,22864179,60,316,110,201,30,650,290,7615,420,160441,170,147691,10,025,10,120,50,111,230,10081,260,188224,320,200843,60,820,720,872924,500,3044726,290,49016,440,15616,1110,770153
Región de Valparaíso,algarrobo,890,358458,10,02,110,3335,20,147,290,7564,360,41375,30,63,00,00,00,00,30,012,180,59075,500,84205,380,40348,00,00,450,1024883,470,26511,240,27779,430,564083,830,74515
Región de Valparaíso,cartagena,760,985210999998016,60,6230,00,00,00,00,230,9055,300,1756,60,48183,30,417,10,10,10,05,00,00,180,45710419462776,150,77784102908,30,7316051454,120,11979,380,183052,180,180795,210,14689,520,2036396308724
Región de Valparaíso,santo_domingo,3190,3641052299999505,470,55217,110,2181,00,00,600,127242,1670,33975049999929,80,30075,30,4518,30,125,70,27,650,5577,870,451485,510,356712,40,2035,980,791863,1430,8018861000003056,180,3822,1480,6418666,2460,4098009999991
Región de Valparaíso,el_quisco/el_tabo,350,989467200001984,00,00,00,00,00,00,70,7022,50,28,00,00,00,00,00,00,40,0864,10,35,210,504823580537224,100,53847897092,10,4883948546,90,156398,160,140766,80,1737188,50,3625,280,1416303691276
Región de Valparaíso,san_felipe,2780,1223141519999586,130,952,70,80,20,57,400,70888533333375,1910,3926949638693909,50,21283,30,105,00,00,70,9626581027668,820,46465329267108,10,153,80,11260765931696,00,00,10,01,430,1813714184273846,20,401,290,4110242103626316,1530,34475427320007
Región de Valparaíso,catemu,1630,1311240699997755,90,13282,240,10539808080754,10,20,560,4137749887527,670,150438738236392,10,002,30,15578,00,00,00,00,630,5737650331002,40,313,120,161932,20,530,150,740274,370,35491616304696,90,855,500,77247635278183,860,1363811991244
Región de Valparaíso,llaillay,1180,2053524600000342,00,00,40,1791,00,00,440,3693245589185,420,373914,30,562,30,4670967742,20,2535483871,40,140,380,289122744678,20,125,20,32773,00,00,20,1876,350,7084206451615,20,677856,150,789026,450,13727159963242
Región de Valparaíso,panquehue,1350,72780630000163,280,384885,100,1108555555546,00,00,310,404855555553,740,256770713156979,70,1476,20,0258,00,00,40,1105,410,4680622222218,40,145,30,9035000000000001,00,00,100,979,260,53347347164448,10,3000,140,213220364721817,1090,4785024162513
Región de Valparaíso,putaendo,3430,6106604100000266,80,103,100,1656,40,43,540,70049666666625,2430,165981820021503,30,501,00,00,10,0004,50,1108418972332,1140,19936318972332,10,03,20,470010,30,47,70,1616,1990,987389855476898,30,297,450,1090164,2410,185367668948455
Región de Valparaíso,santa_maría,2120,3971734000001964,10,35,10,20,10,20,50,193,1900,2681910170692001,40,11241,00,00,10,002,40,923,290,15385,00,00,20,501234068304,00,00,00,00,390,180020542339676,10,112,350,423154413978392,1300,350465466161495
Región de Valparaíso,quilpué,960,2340123,10,05,00,00,00,00,110,5326800000000001,300,169313,10,40,00,00,00,00,50,2075,10,05,30,1206,360,65598,10,397,160,12996757,570,8988055,80,7142999999999999,430,39121,900,52112
Región de Valparaíso,limache,2640,483206,40,692,10,05,00,00,1730,37794,560,53835,20,50,120,1198,10,17,120,2337,120,2751,10,01,100,133161,10,28,250,90976,720,700489,110,51765,240,940,2090,220101
Región de Valparaíso,olmué,980,21634715,00,00,00,00,00,00,270,81414,520,28123,00,00,40,935,10,506,30,1186,30,262,20,62,220,1331544,00,00,50,92224,360,109687,110,298515,260,241879,810,474911
Región de Valparaíso,villa_alemana,530,9116160000000001,00,00,00,00,00,00,90,302,120,1705,00,00,10,05,00,00,90,55,00,00,00,00,60,15159,00,00,180,19208,150,440436,10,30,190,7744500000000001,430,20995
Región Metropolitana de Santiago,total_región,55300,9253348514000437,5940,1011121,5380,3049339,240,24049,18090,119840271,22580,58017818,1520,8621179,720,466274,1630,284953,2560,8706319,12830,1532065,1770,368258,4100,16205774,2180,2435587,10570,133903285,13880,3022829,4060,91558913,5790,371934055,41740,1842289900004387
Región Metropolitana de Santiago,independencia,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
Región Metropolitana de Santiago,la_cisterna,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
Región Metropolitana de Santiago,la_granja,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
Región Metropolitana de Santiago,lo_espejo,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
Región Metropolitana de Santiago,macul,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
Región Metropolitana de Santiago,maipú,870,6042239999998138,50,14065,190,850,00,00,470,54154,150,23114819367288,20,1131,00,00,40,275,10,900,180,45091,10,100,10,11107,00,00,70,1659672,270,1873,280,4015901308334,130,8708199999999999,760,224099675491858
Región Metropolitana de Santiago,pudahuel,360,3118420000018598,00,00,00,00,00,00,100,1105,70,31660980632712,00,00,00,00,00,00,00,00,160,23279,00,00,30,7800,40,8622,120,57188,120,12218,200,3079598691666,100,1535,310,436780324524878
Región Metropolitana de Santiago,quinta_normal,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
Región Metropolitana de Santiago,recoleta,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
Región Metropolitana de Santiago,san_joaquín,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
Región Metropolitana de Santiago,san_miguel,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
Región Metropolitana de Santiago,g1_santiago,360,72046837,00,00,10,01,00,00,80,705,50,1255,20,148,30,395,00,00,90,1255,70,625,20,90,40,1359386,00,00,50,1059819,110,20947,120,2310066,70,22960633,250,1472819
Región Metropolitana de Santiago,g2_santiago,380,131453100000224,00,00,00,00,00,00,140,10315,30,92430315672,00,00,00,00,20,100,50,321,100,1873,20,515,10,200,10,120,30,2895,90,537450281856,70,9875,110,28841,370,10453565614464
Región Metropolitana de Santiago,g3_santiago,650,11854409999958,40,8264,80,381,00,00,400,19173,60,1589,50,1817060449408,40,084,00,00,90,451,180,25322,10,02,10,025,00,00,20,21,200,627692584264,20,246,30,19306,540,1559656966286
Región Metropolitana de Santiago,puente_alto,270,5114860000042,30,275,20,20,00,00,60,375,10,90,30,2144839550592,30,40,00,00,00,00,80,680,00,00,00,00,00,00,20,20,110,440907415736,00,00,00,00,220,1029113033714
Región Metropolitana de Santiago,pirque,1750,3448358800004,130,2836,80,71,20,015,420,10618,590,17917896052645,230,8679514473695,20,162,30,110,10,10,600,9791,20,225,260,259998721053,60,1296,290,146453,420,1117218526316,80,5154631579,250,104469,1450,62439
Región Metropolitana de Santiago,san_josé_de_maipo,1080,4308778599999601,30,575,10,01,00,00,200,5156,540,2475603947355,20,35285526305,00,00,00,00,20,0636,180,14507,60,5543,280,123222678947,20,650,550,53378962,300,4720839473684,510,4412353568421,280,31484608,950,957944
Región Metropolitana de Santiago,colina,1960,1921211170002098,50,605,30,33,10,075,1140,7940208,380,1842033373645221,10,455,00,00,40,162,60,58769,490,33337,30,33389,20,27281,20,174,100,472045,850,1477854268448702,160,245743,270,2401227357927057,1370,2069609
Región Metropolitana de Santiago,lampa,1990,1324998,30,270,100,135,00,00,1290,135374,230,122123,00,00,00,00,50,265,100,13075,540,70854,00,00,10,35000,00,00,190,262008,610,82363,40,18790,240,43413,1280,51188
Región Metropolitana de Santiago,tiltil,1410,1480422429997902,00,00,00,00,10,30,340,4705933,700,1609361626354779,30,608,10,025,00,00,30,42004,130,951,40,11205,140,201019,00,00,210,6029634,740,1565527731551298,310,1765396,140,2141112642072943,1250,708376
Región Metropolitana de Santiago,san_bernardo,1510,5203350000012608,100,39722,140,1020,00,00,350,22975,610,180821,110,36001,40,95,100,1052,80,1695,300,3416,00,00,00,00,20,316,60,42967,280,28166,30,320,160,46297,1210,595010000012608
Región Metropolitana de Santiago,buin,3480,1407823299998535,330,55723,270,23586,10,60,790,467718,1510,558116777886392,190,128105421835107,40,682,80,22366,660,1764234054048,540,4887957894736,30,1266,20,200136,20,06,160,21057155639286,1070,985838117021874,60,189409999999648,270,382195781644548,2720,1270868352833032
Región Metropolitana de Santiago,calera_de_tango,1320,3972766000000102,70,887,70,2415,00,00,280,110328,630,17567319335916,40,790,80,49,30,252,60,905,370,54336202829892,30,1205,10,20,20,110,280,794344420913,430,2195907127942,150,7342,90,3963,1170,245386904402382
Región Metropolitana de Santiago,paine,7470,3617190400001465,1230,8989,460,14649,30,70,2370,818501,3010,650930722113608,320,115505478164893,130,3998,170,1357,590,2262165945952,1560,7057792105264,130,1287,150,871184,80,680,560,1115026044360714,1790,1837276882978126,370,1820110000000352,450,418289218355452,5500,1430480647166968
Región Metropolitana de Santiago,melipilla,11990,7392625700003047,1840,409580759036128,1620,1026599,50,3506,3840,22597370621067,5110,13224289684328,190,85875,120,3672,610,101109,210,33524,3070,32311860050251,360,29079,580,12797105,1520,14641343366834,2020,1128431492461976,1800,4369152319382524,690,924084,1180,5914395,9560,27858100775237
Región Metropolitana de Santiago,alhué,1300,739165654,230,14382,260,6703,10,20,420,68438,380,2137493,30,4710,20,00174,20,58,70,1211,550,19027,30,37971,450,57358946,00,00,520,2871176,360,1090202,330,4725392,70,36933,880,699861
Región Metropolitana de Santiago,curacaví,2510,1551550799998671,530,71896,310,15965,20,590,1120,116029,760,131017496259392,30,225,30,0968,30,8398,50,188,460,83302,30,750,50,39140,30,495,360,191959,310,1405999999986266,20,1001,210,336306,1160,32091503740652
Región Metropolitana de Santiago,maría_pinto,2870,2503948400000328,550,106820240963872,200,2119,00,00,980,6115915903616,580,443618603740608,20,26384,00,00,80,5143,50,1013,1110,12454389949749,20,29,130,486602,110,814626633166,1070,799380507538024,420,192306,40,9200000000000001,280,111194,1790,68950722892514
Región Metropolitana de Santiago,san_pedro,5710,4909102399998012,190,41995,70,285,00,00,280,957,4390,6595548,40,6701,20,0142,00,00,70,1434,620,16959,820,210233,1950,112096,110,34393,3040,1163007,2260,6291590999980124,420,1116151,570,6028792,4040,973066
Región Metropolitana de Santiago,talagante,2000,4928068000002394,150,2706028420745,290,158949337526274,10,60,550,429256114941306,890,15502600947565,70,19189,30,215,160,339884310458848,130,392274851876,520,800884817882618,40,206,10,08,20,184739279955,130,122519157628706,510,38411616127508,100,104,400,12818,1640,453873750275462
Región Metropolitana de Santiago,el_monte,2020,694246699999961,210,2533,670,487088638472226,30,120,1060,1152852731784094,540,166576,30,777,20,21,70,6991,60,89925148124,390,63233,20,40,10,6700,100,4314,230,42661111958412,300,191828652465486,90,896,270,81412,1240,341133342881284
Región Metropolitana de Santiago,isla_de_maipo,2140,1402232600000044,40,1423771579255,330,11993,30,10913,760,229353,1390,27079759052435,190,176005,60,17,130,156090663927052,60,193,350,30871,40,6272000000000001,20,100,00,00,270,2916364,360,455288,40,2704,260,414557,1720,850727272904383
Región Metropolitana de Santiago,padre_hurtado,970,3009650000002859,130,2746,150,1158,00,00,520,5915,270,6996961616465001,30,7109999999999998,00,00,20,70,70,1075,170,3718,40,168,20,2600,10,20,50,158291616465,230,2055778586344,10,30,140,6432,490,157414363256958
Región Metropolitana de Santiago,peñaflor,1460,2670530000006315,90,20835,100,418420240015,10,04,490,1239815008063,560,6454139047619,00,00,00,00,40,805150256141,130,8482,350,415673153818462,00,00,00,00,10,115260720045,340,658698685409174,350,20248326729632,00,00,130,3363,1170,239534366294059
Región del Libertador General Bernardo O'Higgins,total_región,91300,1137600488600293,27950,3167981,6280,1451957,2520,3443212,19680,90661985,33160,92548494,6860,34032612,680,591985,2240,2707114,1540,4969906,20220,12113537,11970,89924513,8440,254540233,1860,347456,19990,1526348139999987,18340,53370447,4450,5010711000027301,13540,325056501,58770,2089318700002149
Región del Libertador General Bernardo O'Higgins,rancagua,2050,1662187299972241,400,49994,60,162,60,18271,330,4110028368784,720,3630603,200,45066,40,1848,110,23858142206066,60,3819,630,52366,00,00,40,165164,40,188,30,266,500,8146701587004949,10,782,140,40496,1300,379264153778403
Región del Libertador General Bernardo O'Higgins,codegua,1210,1039550399998329,120,736913132653,60,220,00,00,10,0064,860,4167096768557769,100,1570,00,00,10,25,30,30008,250,1483480422244,80,13098759124088,60,38240,10,02,40,668,400,12342867026952,00,00,40,2849379562044,710,253583625795344
Región del Libertador General Bernardo O'Higgins,coinco,2240,5785180000000672,330,9626102525255,290,79402,30,210,1070,27182,660,638608304598093,00,00,00,00,00,00,30,05,400,12445,460,2419,200,2417703,10,80,230,6795600000000001,420,152338,140,4587,310,7982001967958,1150,615984231975
Región del Libertador General Bernardo O'Higgins,coltauco,2310,8355589999707423,950,8169203007034,190,380,00,00,220,1155,1040,27602999999994,60,1012,30,65,60,522,30,105,580,202100793346,440,1244,50,241061,10,10,150,4754,340,577212974756533,100,124,200,80731593090209,1480,28134
Región del Libertador General Bernardo O'Higgins,doñihue,1580,5839693000222062,280,1790206992966,190,381,10,359,240,2129,520,4643300000006,20,39,10,02,20,40,70,1517,320,103426206654,150,2836,280,443337,120,3372,150,393,310,299017025172952,00,00,210,7584406909791,1070,97055
Región del Libertador General Bernardo O'Higgins,graneros,1060,6850263999768473,230,4520643065692,70,780,20,543,60,15524,480,2181700662848548,110,25123,00,00,60,45203857793934,00,00,230,1112571532846,30,5011240875912,60,11909,00,00,30,102,130,1377358412479421,00,00,60,2815720437956,810,344006434092645
Región del Libertador General Bernardo O'Higgins,las_cabras,4520,3644725240024295,1680,131343,790,99406,80,933,1220,4522504,1050,4880011671779998,120,884784,20,225,70,493,10,0023,1310,616691716566,220,4148546,370,141397,20,350,760,4559958,1000,2993059304625159,160,511,500,153506,2450,593382307271794
Región del Libertador General Bernardo O'Higgins,machalí,800,1690858929999924,90,5072,80,45513,00,00,90,2511,310,719169486292525,30,344,00,00,50,1249,30,1262,380,202533087925,30,30541,170,4632928,10,350,150,14427579,220,12726,50,49182,170,9735119,530,324302642577495
Región del Libertador General Bernardo O'Higgins,malloa,2700,14241193,950,149239,140,2581,90,2544,1090,677929,720,159514,50,5524,20,015,30,1068,70,51905,510,20826,240,9424,180,705262,20,42,170,40817,250,270395,280,75238,260,127254,1290,243704
Región del Libertador General Bernardo O'Higgins,mostazal,1430,4150852300007296,160,24795,90,266,00,00,210,3165,730,299680943515,70,33079,30,363,30,261,50,488,380,13669,190,8444,280,1206823,40,835,140,284692,550,2115530000072514,10,10,250,1986142,1110,71753356485045
Región del Libertador General Bernardo O'Higgins,olivar,1200,2428803042786875,60,5217855096100001,10,15,00,00,90,185,910,1547135772472473,40,10083193792588,00,00,10,15,10,35,130,21025,20,155,10,160,10,175,40,145,170,1120753232452,40,62,380,24690963541636,810,94421822765962
Región del Libertador General Bernardo O'Higgins,peumo,870,1223622100000111,90,15669,20,185,00,00,120,3295,620,335306927210792,50,119108,10,02,00,00,20,19,150,8007,10,15,20,4768,00,00,40,1013,140,23090556696616,10,200,70,4355575,580,245351058231588
Región del Libertador General Bernardo O'Higgins,pichidegua,5690,1822034000000015,2240,211564,310,4866,150,2254,1610,80288,1480,445352,250,111326,70,448,280,26304,90,361,1550,66291,150,583,160,213375,120,4185,1000,1543560000000145,880,113127,90,8435,450,27727,3240,76116
Región del Libertador General Bernardo O'Higgins,quinta_de_tilcoco,1900,47786799999964,580,96484,240,13855,30,345,1320,160243,300,9275099999964,30,23924,00,00,20,85,20,40,140,617,30,1999,00,00,00,00,50,305,80,651,90,26605,380,18745,910,22832
Región del Libertador General Bernardo O'Higgins,rengo,3500,7916683100007434,590,11169888235298,150,5301,50,1656,710,51977,1950,8084558474677026,260,73596,30,222,90,10087,110,617,530,372392,210,301204,70,2070029,00,00,160,932993,580,898598283923286,30,62030,550,2987694642699954,2100,64379299094467
Región del Libertador General Bernardo O'Higgins,requínoa,2500,4902189995741506,200,1276373729837,60,815,50,1546,150,653771631216,1880,5995498650450965,270,14570819433137,40,108,00,00,80,3799,530,46359,30,3590,180,2718208,50,445,130,12002,600,897460716343888,70,911174,480,9380860917904514,1700,1806079193296694
