Total Nacional - Región_0,comuna_56_1,número_de_upa7_2,superficie_(ha)_3,número_de_upa_4,superficie_(ha)_5,número_de_upa_6,superficie_(ha)_7,número_de_upa_8,superficie_(ha)_9,número_de_upa_10,superficie_(ha)_11,número_de_upa_12,superficie_(ha)_13,número_de_upa_14,superficie_(ha)_15,número_de_upa_16,superficie_(ha)_17,número_de_upa_18,superficie_(ha)_19,número_de_upa_20,superficie_(ha)_21,número_de_upa_22,superficie_(ha)_23,número_de_upa_24,superficie_(ha)_25
Total Nacional,total_nacional,1386280,4574256515956164,97600,48129755983871,413640,1123718344172803,267820,1872042692584142,238270,3281646494103421,189870,5832334512363597,77710,5359920470633383,43520,60064368789072,30790,9468535893312059,12410,8540830907121255,6630,9116990543616049,8020,4067750651028187
Región de Arica y Parinacota,total_región,12670,421712261,1530,78281,7320,177735665,1830,121033,920,11838,530,16088406,110,70814,90,11650,130,475289275,120,813117,30,38170,60,39727945
Región de Arica y Parinacota,arica,9620,20038905,1160,64575,5960,144479665,1410,92721,670,86736,320,9399005999999999,60,40814,10,1000,10,27589275,00,00,10,178705,10,1322398
Región de Arica y Parinacota,camarones,1220,8366171,270,9281,580,14068,190,12525,100,1230,40,1030,10,600,00,00,00,00,00,00,00,00,30,780496
Región de Arica y Parinacota,putre,1510,363580085,100,4915,730,17568,170,11777,140,18515,110,38914,30,1900,70,8950,90,31690,50,295117,10,10500,10,35445226
Región de Arica y Parinacota,general_lagos,420,297271,10,001,90,197,70,471,20,2109,50,1530,10,500,20,2812,30,13080,70,51800,20,27670,30,199000
Región de Tarapacá,total_región,8350,23634463311,3330,1376645,3530,7669986,690,446608,360,469645,200,6500,110,682129,40,4620,50,160395,00,00,00,00,40,2358227336
Región de Tarapacá,iquique/alto_hospicio,130,769475066,60,2753,50,118136,00,00,10,1818,00,00,00,00,00,00,00,00,00,00,00,00,10,7691476
Región de Tarapacá,pozo_almonte,1800,8453008559999999,520,24746,820,183554,210,1216,100,12167,30,880,50,295226,10,1135,40,124845,00,00,00,00,20,8431041099999999
Región de Tarapacá,camiña,1830,205928148,1260,47128,530,8676,20,1282,10,110,00,00,00,00,00,00,00,00,00,00,00,00,10,20577044
Región de Tarapacá,colchane,730,5012591,00,00,210,50098,190,131662,120,147535,130,4390,40,2735,10,1415,10,3515,10,96205,00,00,10,2515746
Región de Tarapacá,huara,2150,10653616175,840,336055,1090,236532,120,7146,50,696,20,450,20,1048,00,00,00,00,00,00,00,00,10,106480062
Región de Tarapacá,pica,1920,164895612,730,33205,910,219061,150,105186,70,9505,20,765,00,00,20,2070,00,00,00,00,00,00,20,16415961
Región de Antofagasta,total_región,7220,5688403896,2860,139713,3470,84546,580,367975,170,20814,50,18014,10,519,00,00,20,8650,00,00,00,00,60,5685745568
Región de Antofagasta,antofagasta,1030,2551720838,930,45158,60,118,10,78,10,111,10,222,00,00,00,00,00,00,00,00,00,00,10,255162278
Región de Antofagasta,taltal,620,4002785000000001,380,2273,220,3482,10,65,00,00,00,00,00,00,00,00,00,00,00,00,00,00,10,399638
Región de Antofagasta,san_pedro_de_atacama,3260,196897452,790,3424,1920,498209,340,222625,120,15574,30,12842,00,00,00,00,00,00,00,00,00,00,60,195858218
Región de Antofagasta,calama/ollagüe,2320,296272956,760,36375,1250,297221,230,13627,30,313,10,2952,10,519,00,00,20,8650,00,00,00,00,10,29482537
Región de Antofagasta,mejillones/sierra_gorda,120,141233664,110,477,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,10,141233187
Región de Antofagasta,tocopilla/maría_elena,50,119114816,30,063,10,40,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,10,119114353
Región de Atacama,total_región,13520,446345424,2510,128179,6740,1607766,1550,103386,960,13015405,750,2263964,360,2421816,230,30704795,160,48045765,40,2721116,70,920438,150,44348965625
Región de Atacama,tierra_amarilla,1130,85092721,100,301,290,7542,110,762,70,9662,160,47574,80,55904,110,151872,70,198428,20,13619,20,315357,100,84162271
Región de Atacama,copiapó/caldera,2080,1072608812,290,14982,1030,23483,280,19087,200,26235,100,3283,80,56502,20,2203,40,131758,10,84109,20,22830,10,106635049
Región de Atacama,chañaral/diego_de_almagro,150,211052872,90,265,30,35,00,00,00,00,10,340,00,00,00,00,00,00,00,00,00,00,20,211048857
Región de Atacama,vallenar,2570,1892519650000016,310,1572,1260,3172949999999,270,17597,230,30639,250,8259000000017,150,99643,60,7944,20,5207075,00,00,00,00,20,1852991525
Región de Atacama,alto_del_carmen,4690,1840184329999983,1100,62301,2690,627756,470,30605,210,28823,120,359714,10,52556,20,22808,10,3510,10,518126,20,27370099999983,30,17848761
Región de Atacama,freirina,1310,2796446,430,17756,480,12041,80,5363,150,2235505,110,27736,20,14485,10,1868695,20,77122,00,00,10,10008,00,00
Región de Atacama,huasco,1800,533226540000001,220,1326,1020,2440250000001,350,236689,110,1388,50,15735,20,14972,10,1600,00,00,00,00,00,00,20,5222281
Región de Coquimbo,total_región,69290,1895692284,8670,43279225,29760,70813765,11780,78938950000001,9290,11961297,5060,1438319555,1440,97327735,880,12278831425,790,25164858775,350,25794053,370,532701875,900,17276990235
Región de Coquimbo,la_serena,4850,1544474500000023,750,3740125,2070,42603625,660,45324,810,10410,250,7197700000023,110,72564,50,5950,60,15539325,30,212423,20,27000,40,1440712
Región de Coquimbo,coquimbo,4190,726815059999977,920,47346,1600,33267875,670,458565,470,58123,290,84643625,70,53198,40,55076,70,25844599999977,10,78936,20,276288,30,6319581
Región de Coquimbo,andacollo,1260,78051,130,6537,610,15639,30,217,470,474863,10,230,10,9802,00,00,00,00,00,00,00,00,00,00
Región de Coquimbo,la_higuera,1040,9475009,200,1003,540,12056,70,382,120,13595,50,1496225,10,510,00,00,00,00,10,7726,00,00,40,934721275
Región de Coquimbo,paiguano,1430,144241038,350,18309,520,114903,150,103816,120,15926,90,2601,80,550167,40,628833,30,8472,00,00,00,00,50,14155845
Región de Coquimbo,vicuña,2120,394719627,400,21045,460,11452,290,199934,300,357261,290,856009,50,29522,120,175754,60,2109565,30,2292133,10,13565,110,3853599
Región de Coquimbo,illapel,5000,1823958540000001,440,20462,2030,455594,1070,7479390000001,690,971156,470,130691,150,100763,50,73098,30,99975,20,17625,20,21860,30,172206933
Región de Coquimbo,canela,7990,100409035,420,21137,3840,900558,1650,1139263,1340,171644,330,911972,60,4227,110,1654425,60,212267,40,35592,50,716277,90,807979
Región de Coquimbo,los_vilos,3100,7858689,210,7355,1390,307706,430,264965,240,30799,370,1171529,100,67587,120,168628,60,2069015,40,23150,50,65252,90,6325598
Región de Coquimbo,salamanca,8050,185730768,1290,61219,3780,998355,1490,1033691,950,1265727,360,10383068,60,4248,20,23985,30,9371592,10,74347,00,00,60,17898819
Región de Coquimbo,ovalle,11010,109956219,1050,54449,3640,89507375,1630,109789625,1790,235301,1590,4551705,500,3303095,320,44122275,190,597279,100,751704,100,148347625,100,6496417
Región de Coquimbo,combarbalá,6690,110660607,450,17016,2970,774665,1750,1133301,890,1160885,300,83325,90,6030,10,1000,50,131577,30,25307,60,89160,90,9327602
Región de Coquimbo,monte_patria,4820,14623286,1020,56032,2220,49818,570,3731225,290,40001,190,55909,70,45919,90,123632,160,44136175,50,328079,70,11388388,90,12356812
Región de Coquimbo,punitaqui,6210,41386563,520,23963,3150,75500875,1070,66450125,790,1015985,430,1087655,100,6481165,40,547466925,20,515096575,20,13000,30,367877,40,311500
Región de Coquimbo,río_hurtado,2280,78713267,620,34843,1050,257068,280,186876,130,17266,100,267285,40,30788,10,1270,00,00,10,68482,00,00,40,76674835
Región de Valparaíso,total_región,54840,6451129466999999,8690,4293950483871,19310,48236536999999,9250,63404170403225,5790,78062330000001,4730,146959256758063,2380,159888471806452,1680,234733388048388,1400,4401699675,670,4530177075,540,7397137625,400,4082649924999999
Región de Valparaíso,casablanca,2350,476298760000967,320,1481325,540,11470075,260,18607,150,228362,270,7682725,110,7675,240,336527,190,609002,140,99747199999969,90,135484075,40,125717400000998
Región de Valparaíso,juan_fernández,10,957305,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,10,957305
Región de Valparaíso,puchuncaví,880,8279903,90,4095,260,6727625,130,869,170,24007,60,184015,80,51545,50,8135967499999999,10,2335,10,6750,10,17600,10,37000
Región de Valparaíso,quintero,420,544306,100,393,40,905,50,33455,20,20225,80,30046,40,26308,30,41446,30,104705,10,51535,20,28360,00,00
Región de Valparaíso,valparaíso/viña_del_mar/_concón,270,142693459999002,30,1536,70,178400000001,10,883,50,6256,50,1370,10,700,20,2670,10,3050,00,00,00,00,20,133995799999001
Región de Valparaíso,isla_de_pascua,170,301441,10,097,60,2022,70,4612,20,2464,00,00,00,00,00,00,00,00,00,00,00,00,10,292246
Región de Valparaíso,los_andes,250,542356360000001,30,157,30,51300000001,20,109,30,4059,40,11244,40,25504,10,12867,30,710296,00,00,00,00,20,529710
Región de Valparaíso,calle_larga,1070,277845200000003,10,032,160,3972,330,2201999999999,210,30995,250,6999374999999,40,26168,40,5181225000004999,10,38813,00,00,10,165446,10,236920
Región de Valparaíso,rinconada,540,25664180000006,60,21,100,3229,50,359787500002,120,17479,100,3220512500004,40,285928,40,48276,20,6314000000000001,10,59912,00,00,00,00
Región de Valparaíso,san_esteban,1470,450612,60,36,330,837660499998,350,2407450000002,370,528644,170,52064,120,78272,50,62834995,10,4950,00,00,10,1222655,00,00
Región de Valparaíso,la_ligua,4600,476677320000054,820,35628,1640,4129719999998,820,584209,310,427943,390,128744,150,1062140000001,110,15842,240,785601,20,124934,60,822773,40,249401200000046
Región de Valparaíso,cabildo,2090,844714609999992,230,119890000002,520,133873249999,540,348845,180,24074975,200,67695,90,57625,110,155901,40,104417375,60,42979805,60,767309025,60,679085495
Región de Valparaíso,papudo,220,1325795,30,11,80,2639865,40,227845,10,172,10,4611,20,15620435,00,00,00,00,00,00,00,00,30,129881525
Región de Valparaíso,petorca,2090,13035240490039,330,1798,1080,252744,260,182177490039,180,23496,90,238439,50,3823175,10,10589,30,108035,30,22191825,20,23620,10,59592
Región de Valparaíso,zapallar,510,9145586,30,0966,110,30755,30,1961,40,560,50,1710,90,5738,60,843655,30,8530,40,28100,30,37868,00,00
Región de Valparaíso,quillota,5940,11620268500013,1650,76954,2750,5962945,480,3161835,500,651949500008,270,830607000005,90,5880705,50,72363,100,3473084,20,123527,30,31282255,00,00
Región de Valparaíso,calera,1360,17712750000068,520,20795,430,1197072500068,160,11322,70,9786775,110,377285,30,1935,20,2820,20,5669,00,00,00,00,00,00
Región de Valparaíso,hijuelas,4600,125848569999994,830,442795,2080,5702005,840,5594737499994,330,44671,230,6793525,90,59041875,100,131146,40,111173,30,227329,20,2850942,10,21470
Región de Valparaíso,la_cruz,2130,30243679999878,310,18097,990,2457139435475,370,2615575403225,190,2639650000006,120,365709516129,50,28214,70,847669999995,30,7395149999932,00,00,00,00,00,00
Región de Valparaíso,nogales,2370,196512785099584,220,10095,870,23501,630,43048875,240,326365009961,210,698769750002,80,532575,20,3160,50,17503149999954,10,50804,10,13461,30,1349752
Región de Valparaíso,san_antonio,1430,22864179,90,4093,320,81976,150,1009,210,2962,130,45222,110,8115475,150,21040925,110,314031,100,60070,50,685514,10,30107
Región de Valparaíso,algarrobo,890,358458,60,291,200,5899,140,1029,180,23855,190,57453,40,26525,40,57215,30,12393,10,5300,00,00,00,00
Región de Valparaíso,cartagena,760,9852109999980199,90,273,220,453,110,7943,80,1129999999802,70,21602,60,40613,70,102733,00,00,20,17649,20,21000,20,409727
Región de Valparaíso,santo_domingo,3190,364105229999951,170,1129,890,23124475,520,34395,330,45079625,420,14453075,400,28013025,150,199277,140,4614878999992,70,462922,60,922117,40,106685930000031
Región de Valparaíso,el_quisco/el_tabo,350,98946720000198,40,0382,100,2312,20,127,30,360,30,888,50,31865,20,3090,30,10410,20,13329000000198,00,00,10,673212
Región de Valparaíso,san_felipe,2780,122314151999958,570,27025,830,2117242500003,470,3339437499982,420,5680512499995,230,7225182,120,8404285,70,10972642499978,40,132985,10,71793,10,10015,10,538118
Región de Valparaíso,catemu,1630,131124069999776,220,10417,380,10697,280,192647499998,300,40793,210,6528899999796,120,7795515,70,1046401,20,5260,10,5200,10,15526,10,73170
Región de Valparaíso,llaillay,1180,205352460000034,40,13635483871,230,665,410,27285375,220,2980625,80,2478837096774,50,3369121370977,50,6297703548412001,30,8909200000000001,20,12500,10,18000,40,1474098
Región de Valparaíso,panquehue,1350,72780630000163,320,15967,280,6406,230,16931,160,2140099999983,110,3369899999987,100,616504,90,1196965,10,4506,30,18360370000193,20,237762,00,00
Región de Valparaíso,putaendo,3430,610660410000027,590,329179999999,1320,3492330000007,740,5239999999996,390,5110500000008,270,7724200000017,70,46388,30,38201,10,22553,00,00,00,00,10,578050
Región de Valparaíso,santa_maría,2120,3971734000002,270,162225,780,1980814999998,320,22087,350,509207,230,74846,110,8557,40,5884900000022,10,305103,10,5296,00,00,00,00
Región de Valparaíso,quilpué,960,2340123,150,669,410,9337,90,647,80,97375,90,25529,50,2980,30,3800,30,67638,00,00,10,1695125,20,198343
Región de Valparaíso,limache,2640,483206,440,238,1290,30380375,460,2960,190,26931,140,37785625,40,27105,30,41849,10,32799,40,254376,00,00,00,00
Región de Valparaíso,olmué,980,21634715,210,1261925,440,1129425,90,6878625,70,8442,90,28510875,00,00,00,00,00,00,30,242262075,10,15220,40,171262175
Región de Valparaíso,villa_alemana,530,911616,100,2795,160,3567,110,77531,40,465,60,14929,40,23303,10,1080,10,2588,00,00,00,00,00,00
Región Metropolitana de Santiago,total_región,55300,9253348514000439,5330,26125085,15150,38675629,10450,73866596069212,8340,115252400929037,7020,220971285885993,3890,270072921372989,2280,31435035836192,1360,432340944381288,540,3579872065,330,4297283255,610,6997490337500001
Región Metropolitana de Santiago,independencia,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
Región Metropolitana de Santiago,la_cisterna,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
Región Metropolitana de Santiago,la_granja,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
Región Metropolitana de Santiago,lo_espejo,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
Región Metropolitana de Santiago,macul,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
Región Metropolitana de Santiago,maipú,870,60422399999981,10,03,220,7513,250,17521,100,1394125,150,5248254999981,90,6068525,20,22842,10,26946,00,00,10,10317195,10,299091
Región Metropolitana de Santiago,pudahuel,360,31184200000186,00,00,10,40,60,3769,50,7708,100,3155509024416,90,6544465975603,20,30707,20,6895825000167,00,00,10,10330,00,00
Región Metropolitana de Santiago,quinta_normal,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
Región Metropolitana de Santiago,recoleta,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
Región Metropolitana de Santiago,san_joaquín,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
Región Metropolitana de Santiago,san_miguel,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
Región Metropolitana de Santiago,g1_santiago,360,72046837,120,2177,50,151,00,00,50,6718,10,300,10,525,20,30416,00,00,00,00,10,10000,90,7057572
Región Metropolitana de Santiago,g2_santiago,380,13145310000022,70,07010000000000001,40,114800000022,50,332,110,1643,50,1610,10,500,40,64725,10,2466,00,00,00,00,00,00
Región Metropolitana de Santiago,g3_santiago,650,11854409999958,140,8214,250,4499,50,348,90,11538,40,1059269999958,50,35322,20,22811,10,2948,00,00,00,00,00,00
Región Metropolitana de Santiago,puente_alto,270,5114860000042,30,0143,60,172,80,515,40,61355,40,125955,10,505130000042,00,00,10,20482,00,00,00,00,00,00
Región Metropolitana de Santiago,pirque,1750,3448358800004,60,259,490,1271325,340,22737375,240,31931375,200,625625,160,1095295,100,129384,90,291087,20,14988,20,270300800004,30,2367974
Región Metropolitana de Santiago,san_josé_de_maipo,1080,43087785999996,260,1028,340,7553,50,385,110,16562999996,50,14104,10,810,40,49304,00,00,20,146109,10,11951,190,42721665
Región Metropolitana de Santiago,colina,1960,19212111700021,120,80317,560,13652,370,24819,330,439655,240,777559000021,140,1035475,120,1573461,40,118362,10,8000,10,116924375,20,1184035625
Región Metropolitana de Santiago,lampa,1990,1324998,80,517,350,10299,430,317295,480,6304,370,107575375,150,92901125,80,10367421,20,54536,20,11682579,00,00,10,74390
Región Metropolitana de Santiago,tiltil,1410,14804224299979,190,1195,400,1038474,170,1134104,140,19684375,150,5368,150,103191375,90,1325075,50,1644429999979,20,11040,30,370554,20,5030414000000001
Región Metropolitana de Santiago,san_bernardo,1510,52033500000126,70,229,320,9197,280,19821,250,357135,340,10660,140,9641960000125999,80,12479,30,1275649,00,00,00,00,00,00
Región Metropolitana de Santiago,buin,3480,140782329999853,590,30363,780,1947749999992,550,380545,410,578694725,480,15425616249992,370,248189925,160,2199979,120,33537853999869,10,51125,00,00,10,280438
Región Metropolitana de Santiago,calera_de_tango,1320,39727660000001,90,467,280,7003999999999999,320,2349789569212,200,2729425590753,210,7126275499971,110,735108,80,10819079340065,30,860491,00,00,00,00,00,00
Región Metropolitana de Santiago,paine,7470,361719040000147,870,46665,2480,636686,1470,10684,1100,15392612500008,900,28662287500052,270,186866,170,25268900000087,130,4075931325,20,1182631675,20,250276,40,1785779
Región Metropolitana de Santiago,melipilla,11990,739262570000305,1200,58403,3400,903526,2260,15925545,1790,25198377499997,1280,40519437500028,830,57224487499944,490,6658761250000001,410,1264567,210,129537320000336,70,1066473,50,1615465
Región Metropolitana de Santiago,alhué,1300,739165654,160,71994,360,828,210,14695375,100,1395,200,55257425,60,3880,20,3160,40,1307065,40,257227075,30,40060,80,6439820225
Región Metropolitana de Santiago,curacaví,2510,155155079999867,160,7378,470,13834375,640,444961575,510,70193125,350,1059961925,170,11161455000004,110,13066735,30,8638425,10,63388,40,46395899999863,20,4602799999999999
Región Metropolitana de Santiago,maría_pinto,2870,250394840000033,170,7444,660,1637,660,49139375,510,7135000000003,390,11671632499996,150,1084923,120,17928200000034,110,349479,30,197636,40,491451,30,9232880000000001
Región Metropolitana de Santiago,san_pedro,5710,490910239999801,320,1642,1860,43976,820,560112,750,1010382,680,207548,520,384325,410,5493350500000001,140,46736,110,74427375,30,45137395,70,190221924999801
Región Metropolitana de Santiago,talagante,2000,49280680000025,130,605,450,1125525,360,2470754250002,300,4328499999994,500,15488670450242,170,11585917799787,70,955938,20,46614325,00,00,00,00,00,00
Región Metropolitana de Santiago,el_monte,2020,69424669999996,70,448,480,115125,480,3460732500015,390,5274095,340,11554229999981,120,75733475,90,118693225,20,6430327500000001,20,1103771,10,11028855,00,00
Región Metropolitana de Santiago,isla_de_maipo,2140,140223260000004,230,12268,490,1225085,550,410187,300,4122327500006,230,71981475,170,11662024999998,60,78900725,50,174823395,20,1644695,20,243158955,20,456558675
Región Metropolitana de Santiago,padre_hurtado,970,30096500000029,110,555,210,6085,130,9412725,170,2475575000029,190,6255675,60,41589,80,105375,20,50635775,00,00,00,00,00,00
Región Metropolitana de Santiago,peñaflor,1460,26705300000063,210,778375,520,12427,240,15755625,250,3484308088284,140,4360240861722,40,26048,50,6383651050057,00,00,10,69762,00,00,00,00
Región del Libertador General Bernardo O'Higgins,total_región,91300,1137600488600293,7690,36923515,22730,5960616025,15370,109845896,15630,215599951250001,13400,42193319475,6840,49038907555,4130,572040461749999,3050,922539237250001,1120,7466376955,760,1080074003,580,6753646859202927
Región del Libertador General Bernardo O'Higgins,rancagua,2050,166218729997224,110,655,350,88355,460,331781,370,502535,410,1307092999995,200,1344959999999,90,1180719,20,51402,10,72482,20,29942,10,7626839999728401
Región del Libertador General Bernardo O'Higgins,codegua,1210,103955039999832,100,605,210,56365,270,1901799999954,120,1637,250,7594149999966,80,570614999998,70,8158974999932,60,170474,20,10520,30,50765415,00,00
Región del Libertador General Bernardo O'Higgins,coinco,2240,57851800000007,390,204,820,196933,330,2233375,300,4251870000003,260,7434650000004,80,5600275,10,10882,20,63426,20,132318,10,154957,00,00
Región del Libertador General Bernardo O'Higgins,coltauco,2310,83555899997074,200,924,780,207705,460,33113,360,491259999999,240,7077254997084,120,819384,50,7244685000000001,70,2254508,20,1330899,10,147927,00,00
Región del Libertador General Bernardo O'Higgins,doñihue,1580,58396930002221,150,8817,780,2161448750006,200,1418125,250,326745000001,110,368903625,30,21618,20,23832,10,2116500002205,10,66863,20,344249,00,00
Región del Libertador General Bernardo O'Higgins,graneros,1060,68502639997685,50,3734,140,4022,200,15416,160,22508,180,5666799999997,170,11828200000095,90,12590500000034,50,141935,10,8908,10,11083699997559,00,00
Región del Libertador General Bernardo O'Higgins,las_cabras,4520,36447252400243,460,2519,1370,3320024,890,6389750000097999,700,97037,480,1508798750006,200,150887125,110,15197,160,48861975,40,26785975,70,101837400002272,40,1219481
Región del Libertador General Bernardo O'Higgins,machalí,800,1690858929999925,100,4913,220,5144,160,11493,90,13326,110,378715775,00,00,20,2509,30,8192644999925,20,173399,00,00,50,165598479725
Región del Libertador General Bernardo O'Higgins,malloa,2700,14241193,250,11664,730,168309,650,45831,320,44329,350,12105275,230,170239,110,13710335,40,1287369,00,00,10,10383,10,65500
Región del Libertador General Bernardo O'Higgins,mostazal,1430,415085230000729,160,7135,280,83115,120,8259,300,433035,190,54747,100,77064,90,11944900000004,70,2002708,30,21933200000725,30,503135,60,2916267
Región del Libertador General Bernardo O'Higgins,olivar,1200,24288030427868,100,434,490,1127,170,1247050000004,200,2700874999981,110,3467549999997,70,4156855427888,50,8054499999998,10,34908,00,00,00,00,00,00
Región del Libertador General Bernardo O'Higgins,peumo,870,122362210000011,160,8505,270,6469,130,881075,80,112592125,20,636,110,9134658050011,60,777336875,10,22254,10,64082,10,13062,10,8038363695
Región del Libertador General Bernardo O'Higgins,pichidegua,5690,182203400000001,490,2418,1810,451575,950,6724875,1090,151462,660,20177875,340,2340255,190,26225975,100,31974925,50,31532450000001,00,00,10,22261
Región del Libertador General Bernardo O'Higgins,quinta_de_tilcoco,1900,47786799999964,70,312,340,9338374999999999,500,35087,430,5831225,330,111353125,140,10639087499964,70,94993475,20,620809,00,00,00,00,00,00
Región del Libertador General Bernardo O'Higgins,rengo,3500,791668310000743,270,1164,870,23232925,420,32195,610,8720260000006,670,20486625,260,18915101,190,27377756500737,150,46936375,40,245486,00,00,20,6390244
Región del Libertador General Bernardo O'Higgins,requínoa,2500,490218999574151,150,7680000001,280,746099999987,350,2507669572112,520,7286407500071,570,18241492500103,280,20482500001868,190,260985,90,2572523,10,74788,30,42982,30,3385935
Región del Libertador General Bernardo O'Higgins,san_vicente,8120,257625090000036,1140,54873,2540,643491525,1580,1155201,1290,170103775,880,26772622500036,270,1946967975,180,254179,190,51640245,20,155392,10,1395641,20,6928299999999999
Región del Libertador General Bernardo O'Higgins,pichilemu,1410,390327079997928,80,33379999999,160,4772,220,1537,160,22059,350,110472,170,119683,90,118873,80,24371599997929,20,15657,00,00,80,3111422
Región del Libertador General Bernardo O'Higgins,la_estrella,2140,264495279999871,70,264475,280,932679999997,270,18023,240,3436837500165,440,13794875,390,26115800000007,160,242119,170,5488879,60,4539729999952,50,67539550000665,10,26348799999517
Región del Libertador General Bernardo O'Higgins,litueche,3520,483967699999084,170,907,730,19133,630,4451557000003,420,6062,530,1782711,460,3424095,150,219289,240,71608999999836,70,4885749999981,70,101116583,50,175870099999435
Región del Libertador General Bernardo O'Higgins,marchihue,4290,534780530004165,80,3547,680,19003,520,35948,710,9675279999993,970,32645005,600,40534175,280,3814505,260,72902525,100,72369100000241,50,78348499999973,40,184630325003958
Región del Libertador General Bernardo O'Higgins,navidad,1740,102329931998392,150,56762,510,129958,350,250599,290,38429625,200,5327,90,63351,70,92679,50,13340337500429,10,6285,00,00,20,54069299997963
Región del Libertador General Bernardo O'Higgins,paredones,4460,273401420003114,210,9507,1020,3070,790,557824,730,1017946,860,264197,360,25264800000016,270,35860,120,312368,40,2796605,40,54588,20,5314330000309799
Región del Libertador General Bernardo O'Higgins,san_fernando,3710,2339336849999069,220,8854,770,219346075,540,381905,660,92921875,530,169649375,440,3351039925,150,21093315,160,4970186,40,28254,80,115891999999069,120,20585271
Región del Libertador General Bernardo O'Higgins,chépica,5740,251349459999893,850,3936,1530,3786705,870,62492,920,128097,650,20383995,390,28351635,260,36288125,220,68497949999893,20,108311,20,231143,10,4064315
Región del Libertador General Bernardo O'Higgins,chimbarongo,8280,316950727999906,710,33615,2370,61834765,1470,10403194,1700,23302025,960,29728000000015,500,351095775,370,54116405,110,35611099999891,30,204817,50,672091,10,34470
Región del Libertador General Bernardo O'Higgins,lolol,2710,343498420000794,100,449,440,12393375,270,1869,440,62545,450,14997445,310,20854650000075,260,3635351249992,270,85857624999984,90,571913,80,118836150000815,00,00
Región del Libertador General Bernardo O'Higgins,nancagua,2180,121572449999912,100,50,600,15117,410,28805,390,50911,280,8722799999912,150,1177115,110,148588,70,208871,60,372693,10,18530,00,00
Región del Libertador General Bernardo O'Higgins,palmilla,3340,157346919275722,170,883,610,1875,470,3412279999936,940,136458,620,180975,240,17341744999992,110,14693455,120,33673019999999,30,17973819275795,30,36546,00,00
Región del Libertador General Bernardo O'Higgins,peralillo,2710,226195782280523,60,308,580,14938,310,2213,540,73107,590,18405075,250,18227300000647,140,19158025000008,130,40089482279868,90,666099,10,16450,10,362077
Región del Libertador General Bernardo O'Higgins,placilla,2450,98657832000001,350,146902,480,1241830000001,550,41478875,360,47116125,410,122554,170,116088,40,5579,50,156656,20,148831,20,284177,00,00
Región del Libertador General Bernardo O'Higgins,pumanque,1980,202319940000058,90,38,300,74214,250,17828,350,5039700000029,260,87927645,270,190586,210,29408309999925,180,6115122550008,40,306141,20,24997300000024,10,20695
Región del Libertador General Bernardo O'Higgins,santa_cruz,3240,202012068444596,210,10023,570,15141,470,34076,610,8727505000107,620,188589,240,16833145,290,42552140000088,150,47097548444401,70,4471690000000001,10,18204,00,00
Región del Maule,total_región,174000,1331819793353983,20440,9784826,50960,128047303534483,24960,17475732146069,27640,388617712507182,25880,794887182460082,11190,776919161989575,6520,885276133201207,3910,1206015584776962,1260,840431093428967,730,1010947874891105,510,7102513739289575
Región del Maule,talca,3450,85380895798179,400,18181,900,2184499999999,520,4015499999998,770,10749900000021,400,12296283137458,260,19422579960509,120,15287325,80,21242997700194,00,00,00,00,00,00
Región del Maule,constitución,3840,959203338364236,340,159616,1000,26074,480,351415,650,8972,590,170521,310,205142,210,27833160001752,130,4445364,40,24862,60,708383,30,7383967723624839
Región del Maule,curepto,5670,487010522752138,190,9315,1500,4472399999991,1210,8607037499996,1100,156333125,1050,33480275,260,176081,230,29651774999804,100,253387,20,125358,00,00,10,339589972752347
Región del Maule,empedrado,2140,395415435612569,40,19889,440,1242124999981,390,263979,240,3406471,450,1331084,290,21001675,150,20872100001414,90,2862295,20,163982,20,243773,10,263524095611174
Región del Maule,maule,6080,125844138793858,910,504950000001,2700,6300459999991,690,4804050000007,750,10036500000007,560,16678885,260,188821,100,14427575000047,90,30345525,10,6561315,10,17302778793805,00,00
Región del Maule,pelarco,3180,243820868980382,370,1991,760,18497125,580,4155700000004,440,6421462500009,470,13764957011077,180,11304075,160,23280892987921,100,353547,80,50915,20,329367,20,63638568981371
Región del Maule,pencahue,5970,578179517650895,1100,44457,1190,299081,740,491175,810,1142505,820,267730575,600,4290834000003,360,50570274650957,220,71956349999971,80,56248062498446,20,250143,30,284936953001491
