total_nacional_region__,comuna_6_7_8__,categorias_de_uso_del_suelo__total__numero_de_upa,categorias_de_uso_del_suelo__total__superficie_ha,categorias_de_uso_del_suelo__cereales__numero_de_upa,categorias_de_uso_del_suelo__cereales__superficie_ha,categorias_de_uso_del_suelo__leguminosas_y_tuberculos__numero_de_upa,categorias_de_uso_del_suelo__leguminosas_y_tuberculos__superficie_ha,categorias_de_uso_del_suelo__cultivos_industriales__numero_de_upa,categorias_de_uso_del_suelo__cultivos_industriales__superficie_ha,categorias_de_uso_del_suelo__hortalizas_hongos_aromaticas_medicinales_y_condimentarias__numero_de_upa,categorias_de_uso_del_suelo__hortalizas_hongos_aromaticas_medicinales_y_condimentarias__superficie_ha,categorias_de_uso_del_suelo__frutales__numero_de_upa,categorias_de_uso_del_suelo__frutales__superficie_ha,categorias_de_uso_del_suelo__vides_para_vinificacion_y_uvas_pisqueras__numero_de_upa,categorias_de_uso_del_suelo__vides_para_vinificacion_y_uvas_pisqueras__superficie_ha,categorias_de_uso_del_suelo__flores_de_corte__numero_de_upa,categorias_de_uso_del_suelo__flores_de_corte__superficie_ha,categorias_de_uso_del_suelo__semilleros__numero_de_upa,categorias_de_uso_del_suelo__semilleros__superficie_ha,categorias_de_uso_del_suelo__viveros_y_cesped_alfombra__numero_de_upa,categorias_de_uso_del_suelo__viveros_y_cesped_alfombra__superficie_ha,categorias_de_uso_del_suelo__forrajeras__numero_de_upa,categorias_de_uso_del_suelo__forrajeras__superficie_ha,categorias_de_uso_del_suelo__plantaciones_forestales__numero_de_upa,categorias_de_uso_del_suelo__plantaciones_forestales__superficie_ha,categorias_de_uso_del_suelo__bosque_nativo__numero_de_upa,categorias_de_uso_del_suelo__bosque_nativo__superficie_ha,categorias_de_uso_del_suelo__praderas_mejoradas__numero_de_upa,categorias_de_uso_del_suelo__praderas_mejoradas__superficie_ha,categorias_de_uso_del_suelo__praderas_naturales__numero_de_upa,categorias_de_uso_del_suelo__praderas_naturales__superficie_ha,categorias_de_uso_del_suelo__terrenos_productivos_no_trabajados__numero_de_upa,categorias_de_uso_del_suelo__terrenos_productivos_no_trabajados__superficie_ha,categorias_de_uso_del_suelo__matorrales__numero_de_upa,categorias_de_uso_del_suelo__matorrales__superficie_ha,categorias_de_uso_del_suelo__terrenos_no_productivos__numero_de_upa,categorias_de_uso_del_suelo__terrenos_no_productivos__superficie_ha,categorias_de_uso_del_suelo__infraestructura__numero_de_upa,categorias_de_uso_del_suelo__infraestructura__superficie_ha
Región de Valparaíso,Santa María,212,3971.734000001964,1,3.5,1,2,1,2,5,1.93,190,2681.910170692001,4,112.41,0,0,1,0.02,4,9.23,29,153.85,0,0,2,50.1234068304,0,0,0,0,39,180.020542339676,1,1.12,35,423.154413978392,130,350.465466161495
Región de Valparaíso,Quilpué,96,23401.23,1,0.5,0,0,0,0,11,53.26800000000001,30,169.313,1,4,0,0,0,0,5,2.075,1,0.5,3,12.06,36,655.98,1,3.97,16,12996.757,57,8988.055,8,71.42999999999999,43,391.21,90,52.112
Región de Valparaíso,Limache,264,4832.06,4,69.2,1,0.5,0,0,173,377.94,56,538.35,2,5,12,11.98,1,1.7,12,23.37,12,27.51,1,0.1,10,1331.61,1,2.8,25,909.76,72,700.489,11,517.65,24,94,209,220.101
Región de Valparaíso,Olmué,98,21634.715,0,0,0,0,0,0,27,81.414,52,281.23,0,0,4,9.35,1,5.06,3,11.86,3,26.2,2,6.2,22,13315.44,0,0,5,922.24,36,1096.87,11,2985.15,26,2418.79,81,474.911
Región de Valparaíso,Villa Alemana,53,911.6160000000001,0,0,0,0,0,0,9,3.02,12,17.05,0,0,1,0.5,0,0,9,5.5,0,0,0,0,6,151.59,0,0,18,192.08,15,440.436,1,3,19,77.44500000000001,43,20.995
Región Metropolitana de Santiago,Total Región,5530,925334.8514000437,594,10111.21,538,3049.339,24,240.49,1809,11984.0271,2258,58017.818,152,8621.179,72,46.6274,163,2849.53,256,870.6319,1283,15320.65,177,3682.58,410,162057.74,218,2435.587,1057,133903.285,1388,30228.29,406,91558.913,579,371934.055,4174,18422.89900004387
Región Metropolitana de Santiago,Independencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Región Metropolitana de Santiago,La Cisterna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Región Metropolitana de Santiago,La Granja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Región Metropolitana de Santiago,Lo Espejo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Región Metropolitana de Santiago,Macul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Región Metropolitana de Santiago,Maipú,87,6042.239999998138,5,140.65,19,85,0,0,47,541.54,15,231.14819367288,2,11.31,0,0,4,27.5,1,90,18,450.91,1,10,1,1110.7,0,0,7,1659.672,27,187.3,28,401.5901308334,13,870.8199999999999,76,224.099675491858
Región Metropolitana de Santiago,Pudahuel,36,3118.420000018598,0,0,0,0,0,0,10,110.5,7,316.60980632712,0,0,0,0,0,0,0,0,16,232.79,0,0,3,780,4,86.22,12,571.88,12,122.18,20,307.9598691666,10,153.5,31,436.780324524878
Región Metropolitana de Santiago,Quinta Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Región Metropolitana de Santiago,Recoleta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Región Metropolitana de Santiago,San Joaquín,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Región Metropolitana de Santiago,San Miguel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Región Metropolitana de Santiago,G1 Santiago,36,72046.837,0,0,1,0.1,0,0,8,7.05,5,12.55,2,14.8,3,3.95,0,0,9,1.255,7,62.5,2,9,4,13593.86,0,0,5,10598.19,11,209.47,12,23100.66,7,22960.633,25,1472.819
Región Metropolitana de Santiago,G2 Santiago,38,1314.53100000224,0,0,0,0,0,0,14,103.15,3,92.430315672,0,0,0,0,2,10,5,3.21,10,187.3,2,51.5,1,20,1,12,3,289.5,9,53.7450281856,7,98.75,11,288.41,37,104.53565614464
Región Metropolitana de Santiago,G3 Santiago,65,1185.4409999958,4,82.64,8,38.1,0,0,40,191.73,6,15.89,5,181.7060449408,4,0.84,0,0,9,4.51,18,253.22,1,0.2,1,0.25,0,0,2,2.1,20,62.7692584264,2,2.46,3,193.06,54,155.9656966286
Región Metropolitana de Santiago,Puente Alto,27,511.4860000042,3,27.5,2,2,0,0,6,37.5,1,9,3,214.4839550592,3,4,0,0,0,0,8,68,0,0,0,0,0,0,2,2,11,44.0907415736,0,0,0,0,22,102.9113033714
Región Metropolitana de Santiago,Pirque,175,34483.58800004,13,283.6,8,7.1,2,0.15,42,106.18,59,1791.7896052645,23,867.9514473695,2,1.62,3,11,1,1,60,979.1,2,2.25,26,25999.8721053,6,129.6,29,1464.53,42,1117.218526316,8,51.54631579,25,1044.69,145,624.39
Región Metropolitana de Santiago,San José de Maipo,108,430877.8599999601,3,5.75,1,0.1,0,0,20,5.156,54,247.5603947355,2,3.5285526305,0,0,0,0,2,0.636,18,145.07,6,55.43,28,12322.2678947,2,65,55,53378.962,30,4720.839473684,51,44123.53568421,28,314846.08,95,957.944
Región Metropolitana de Santiago,Colina,196,19212.11170002098,5,6.05,3,3.3,1,0.75,114,794.0208,38,1842.033373645221,1,4.55,0,0,4,16.2,6,5.8769,49,333.37,3,333.89,2,2728.1,2,17.4,10,4720.45,85,1477.854268448702,16,2457.43,27,2401.227357927057,137,2069.609
Región Metropolitana de Santiago,Lampa,199,13249.98,3,27,10,13.5,0,0,129,1353.74,23,1221.23,0,0,0,0,5,26.5,10,130.75,54,708.54,0,0,1,3500,0,0,19,2620.08,61,823.63,4,1879,24,434.13,128,511.88
Región Metropolitana de Santiago,Tiltil,141,14804.22429997902,0,0,0,0,1,3,34,470.5933,70,1609.361626354779,3,60.8,1,0.25,0,0,3,42.004,13,95.1,4,112.05,14,201.019,0,0,21,6029.634,74,1565.527731551298,31,1765.396,14,2141.112642072943,125,708.376
Región Metropolitana de Santiago,San Bernardo,151,5203.350000012608,10,397.22,14,102,0,0,35,229.75,61,1808.21,11,360.01,4,9.5,10,105.2,8,16.95,30,341.6,0,0,0,0,2,31.6,6,429.67,28,281.66,3,32,16,462.97,121,595.010000012608
Región Metropolitana de Santiago,Buin,348,14078.23299998535,33,557.23,27,235.86,1,6,79,467.718,151,5581.16777886392,19,1281.05421835107,4,6.82,8,223.66,66,176.4234054048,54,488.7957894736,3,12.66,2,2001.36,2,0.6,16,210.57155639286,107,985.838117021874,6,189.409999999648,27,382.195781644548,272,1270.868352833032
Región Metropolitana de Santiago,Calera de Tango,132,3972.766000000102,7,88.7,7,24.15,0,0,28,110.328,63,1756.7319335916,4,79,8,4.9,3,25.2,6,9.05,37,543.36202829892,3,12.05,1,2,2,11,28,794.344420913,43,219.5907127942,15,7.342,9,39.63,117,245.386904402382
Región Metropolitana de Santiago,Paine,747,36171.90400001465,123,898.9,46,146.49,3,7,237,818.501,301,6509.30722113608,32,1155.05478164893,13,3.998,17,135.7,59,226.2165945952,156,705.7792105264,13,128.7,15,8711.84,8,68,56,11150.26044360714,179,1837.276882978126,37,1820.110000000352,45,418.289218355452,550,1430.480647166968
Región Metropolitana de Santiago,Melipilla,1199,73926.25700003047,184,4095.80759036128,162,1026.599,5,35.06,384,2259.7370621067,511,13224.289684328,19,858.75,12,3.672,61,1011.09,21,33.524,307,3231.1860050251,36,290.79,58,12797.105,152,1464.1343366834,202,11284.31492461976,180,4369.152319382524,69,9240.84,118,5914.395,956,2785.8100775237
Región Metropolitana de Santiago,Alhué,130,73916.5654,23,143.82,26,67.03,1,2,42,68.438,38,2137.493,3,471,2,0.0174,2,5.8,7,12.11,55,190.27,3,379.71,45,57358.946,0,0,52,2871.176,36,1090.202,33,4725.392,7,3693.3,88,699.861
Región Metropolitana de Santiago,Curacaví,251,15515.50799998671,53,718.96,31,159.65,2,59,112,1160.29,76,1310.17496259392,3,22.5,3,0.968,3,83.98,5,18.8,46,833.02,3,75,5,3914,3,49.5,36,1919.59,31,1405.999999986266,2,100.1,21,3363.06,116,320.91503740652
Región Metropolitana de Santiago,María Pinto,287,25039.48400000328,55,1068.20240963872,20,211.9,0,0,98,611.5915903616,58,4436.18603740608,2,263.84,0,0,8,514.3,5,10.13,111,1245.4389949749,2,2.9,13,4866.02,11,81.4626633166,107,7993.80507538024,42,1923.06,4,9.200000000000001,28,1111.94,179,689.50722892514
Región Metropolitana de Santiago,San Pedro,571,49091.02399998012,19,419.95,7,2.85,0,0,28,9.57,439,6595.548,4,670.1,2,0.142,0,0,7,1.434,62,1695.9,82,2102.33,195,11209.6,11,343.93,304,11630.07,226,6291.590999980124,42,1116.151,57,6028.792,404,973.066
Región Metropolitana de Santiago,Talagante,200,4928.068000002394,15,270.6028420745,29,158.949337526274,1,6,55,429.256114941306,89,1550.2600947565,7,191.89,3,2.15,16,339.884310458848,13,39.2274851876,52,800.884817882618,4,20.6,1,0.8,2,18.4739279955,13,122.519157628706,51,384.11616127508,10,10.4,40,128.18,164,453.873750275462
Región Metropolitana de Santiago,El Monte,202,6942.46699999961,21,253.3,67,487.088638472226,3,12,106,1152.852731784094,54,1665.76,3,77.7,2,2.1,7,69.91,6,8.9925148124,39,632.33,2,4,1,670,10,43.14,23,426.61111958412,30,191.828652465486,9,89.6,27,814.12,124,341.133342881284
Región Metropolitana de Santiago,Isla de Maipo,214,14022.32600000044,4,142.3771579255,33,119.93,3,109.13,76,229.353,139,2707.9759052435,19,1760.05,6,1.7,13,156.090663927052,6,19.3,35,308.71,4,62.72000000000001,2,10,0,0,27,2916.364,36,455.288,4,27.04,26,4145.57,172,850.727272904383
Región Metropolitana de Santiago,Padre Hurtado,97,3009.650000002859,13,274.6,15,115.8,0,0,52,591.5,27,699.6961616465001,3,71.09999999999998,0,0,2,7,7,10.75,17,371.8,4,16.8,2,260,1,2,5,158.291616465,23,205.5778586344,1,3,14,64.32,49,157.414363256958
Región Metropolitana de Santiago,Peñaflor,146,2670.530000006315,9,208.35,10,41.8420240015,1,0.4,49,123.9815008063,56,645.4139047619,0,0,0,0,4,80.5150256141,13,8.482,35,415.673153818462,0,0,0,0,1,11.5260720045,34,658.698685409174,35,202.48326729632,0,0,13,33.63,117,239.534366294059
Región del Libertador General Bernardo O'Higgins,Total Región,9130,1137600.488600293,2795,31679.81,628,1451.957,252,3443.212,1968,9066.1985,3316,92548.494,686,34032.612,68,59.1985,224,2707.114,154,496.9906,2022,12113.537,1197,89924.513,844,254540.233,186,3474.56,1999,152634.8139999987,1834,53370.447,445,50107.11000027301,1354,325056.501,5877,20893.18700002149
Región del Libertador General Bernardo O'Higgins,Rancagua,205,16621.87299972241,40,499.94,6,16.2,6,182.71,33,411.0028368784,72,3630.603,20,450.66,4,18.48,11,238.58142206066,6,38.19,63,523.66,0,0,4,1651.64,4,18.8,3,2.66,50,8146.701587004949,1,7.82,14,404.96,130,379.264153778403
Región del Libertador General Bernardo O'Higgins,Codegua,121,10395.50399998329,12,73.6913132653,6,22,0,0,1,0.064,86,4167.096768557769,10,157,0,0,1,2.5,3,30.008,25,148.3480422244,8,130.98759124088,6,3824,1,0.2,4,66.8,40,1234.2867026952,0,0,4,284.9379562044,71,253.583625795344
Región del Libertador General Bernardo O'Higgins,Coinco,224,5785.180000000672,33,962.6102525255,29,79.402,3,21,107,271.82,66,638.608304598093,0,0,0,0,0,0,3,0.5,40,124.45,46,241.9,20,2417.703,1,8,23,679.5600000000001,42,152.338,14,45.87,31,79.82001967958,115,61.5984231975
Región del Libertador General Bernardo O'Higgins,Coltauco,231,8355.589999707423,95,816.9203007034,19,38,0,0,22,115.5,104,2760.2999999994,6,101.2,3,6.5,6,52.2,3,1.05,58,202.100793346,44,124.4,5,2410.61,1,1,15,47.54,34,577.212974756533,10,12.4,20,807.31593090209,148,281.34
Región del Libertador General Bernardo O'Higgins,Doñihue,158,5839.693000222062,28,179.0206992966,19,38.1,1,3.59,24,21.29,52,464.3300000006,2,3.9,1,0.2,2,4,7,15.17,32,103.426206654,15,28.36,28,4433.37,12,33.72,15,39.3,31,299.017025172952,0,0,21,75.84406909791,107,97.055
Región del Libertador General Bernardo O'Higgins,Graneros,106,6850.263999768473,23,452.0643065692,7,78,2,54.3,6,15.524,48,2181.700662848548,11,251.23,0,0,6,452.03857793934,0,0,23,111.2571532846,3,50.11240875912,6,1190.9,0,0,3,10.2,13,1377.358412479421,0,0,6,281.5720437956,81,344.006434092645
Región del Libertador General Bernardo O'Higgins,Las Cabras,452,36447.25240024295,168,1313.43,79,99.406,8,93.3,122,452.2504,105,4880.011671779998,12,884.784,2,2.25,7,49.3,1,0.023,131,616.691716566,22,4148.546,37,14139.7,2,35,76,4559.958,100,2993.059304625159,16,51.1,50,1535.06,245,593.382307271794
Región del Libertador General Bernardo O'Higgins,Machalí,80,169085.8929999924,9,50.72,8,45.513,0,0,9,25.11,31,719.169486292525,3,34.4,0,0,5,124.9,3,1.262,38,202.533087925,3,305.41,17,46329.28,1,35,15,14427.579,22,1272.6,5,4918.2,17,97351.19,53,3243.02642577495
Región del Libertador General Bernardo O'Higgins,Malloa,270,14241.193,95,1492.39,14,25.81,9,25.44,109,677.929,72,1595.14,5,55.24,2,0.15,3,10.68,7,51.905,51,208.26,24,94.24,18,7052.62,2,4.2,17,408.17,25,270.395,28,752.38,26,1272.54,129,243.704
Región del Libertador General Bernardo O'Higgins,Mostazal,143,41508.52300007296,16,247.95,9,26.6,0,0,21,31.65,73,2996.80943515,7,330.79,3,3.63,3,26.1,5,4.88,38,136.69,19,84.44,28,12068.23,4,8.35,14,2846.92,55,2115.530000072514,1,1,25,19861.42,111,717.53356485045
Región del Libertador General Bernardo O'Higgins,Olivar,120,2428.803042786875,6,52.17855096100001,1,1.5,0,0,9,18.5,91,1547.135772472473,4,100.83193792588,0,0,1,1.5,1,3.5,13,210.25,2,1.55,1,16,1,1.75,4,14.5,17,112.0753232452,4,6.2,38,246.90963541636,81,94.421822765962
Región del Libertador General Bernardo O'Higgins,Peumo,87,12236.22100000111,9,156.69,2,1.85,0,0,12,32.95,62,3353.06927210792,5,1191.08,1,0.2,0,0,2,1.9,15,80.07,1,1.5,2,476.8,0,0,4,10.13,14,2309.0556696616,1,20,7,4355.575,58,245.351058231588
Región del Libertador General Bernardo O'Higgins,Pichidegua,569,18220.34000000015,224,2115.64,31,48.66,15,225.4,161,802.88,148,4453.52,25,1113.26,7,4.48,28,263.04,9,3.61,155,662.91,15,58.3,16,2133.75,12,41.85,100,1543.560000000145,88,1131.27,9,84.35,45,2772.7,324,761.16
Región del Libertador General Bernardo O'Higgins,Quinta de Tilcoco,190,4778.6799999964,58,964.84,24,138.55,3,34.5,132,1602.43,30,927.5099999964,3,239.24,0,0,2,8.5,2,4,14,61.7,3,19.99,0,0,0,0,5,30.5,8,65.1,9,266.05,38,187.45,91,228.32
Región del Libertador General Bernardo O'Higgins,Rengo,350,79166.83100007434,59,1116.9888235298,15,53.01,5,165.6,71,519.77,195,8084.558474677026,26,735.96,3,2.22,9,100.87,11,61.7,53,372.392,21,301.204,7,20700.29,0,0,16,9329.93,58,898.598283923286,3,6203,55,29876.94642699954,210,643.79299094467
Región del Libertador General Bernardo O'Higgins,Requínoa,250,49021.89995741506,20,127.6373729837,6,8.15,5,154.6,15,65.3771631216,188,5995.498650450965,27,1457.0819433137,4,10.8,0,0,8,37.99,53,463.59,3,359,18,27182.08,5,44.5,13,120.02,60,897.460716343888,7,911.174,48,9380.860917904514,170,1806.079193296694
Región del Libertador General Bernardo O'Higgins,San Vicente,812,25762.5090000036,272,2725.53,13,13.85,20,207.62,219,795.325,393,6513.8880000036,25,1785.98,5,0.75,5,36.064,19,42.297,152,545.78,37,102.76,22,3208.713,8,22.25,26,298.99,148,1427.079,22,1516.051,89,5840.269,509,679.313
Región del Libertador General Bernardo O'Higgins,Pichilemu,141,39032.70799979283,56,455.91,28,28.25222222222,0,0,35,25.872,19,27.66,0,0,1,0.4,1,0.4,3,0.4,32,140.99999999994,98,22781.67577774301,25,3244.11999994309,4,181.5,70,3151.10555555554,40,1542.36,21,3547.029999868482,40,2704.494222235388,102,1200.528222225163
Región del Libertador General Bernardo O'Higgins,La Estrella,214,26449.52799998709,36,223.77,4,1.43125,0,0,32,8.78086363635,44,1844.247,22,17.56646084171,1,0.007500000000000001,0,0,0,0,81,420.3285775128,46,2124.45612579175,51,1841.276857565925,7,44.39022757845,176,11206.7205871746,33,2754.097999951736,57,4363.257073179585,37,1301.0671590908,137,298.13031766338
Región del Libertador General Bernardo O'Higgins,Litueche,352,48396.76999990844,19,210.69,20,16.59875,0,0,48,15.81763636365,139,1802.719,9,678.758956624388,5,1.934,0,0,1,0.01,92,1375.08,84,8963.35335164317,47,1663.920605883518,27,1856.70977242155,277,20461.889977562,24,259.84225081342,16,5849.061071586934,56,4570.514607291878,224,669.870019717936
Región del Libertador General Bernardo O'Higgins,Marchihue,429,53478.05300041647,28,285.21,7,8.55,0,0,57,124.917,73,811.2330000000001,30,3525.04,4,1.326,1,1,2,0.525,136,899.7864224872,125,14415.59453202918,63,2092.465024896718,5,257.2,368,23463.02543526304,55,2611.39771593153,32,3000.88685539761,52,954.749967932201,356,1025.146046478986
Región del Libertador General Bernardo O'Higgins,Navidad,174,10232.99319983925,56,131.757,32,49.885,0,0,53,32.085,68,43.275,8,129.821582533902,2,0.029,0,0,5,0.0352,28,75.62,38,2094.15399063305,30,900.766511603552,0,0,80,2071.524,63,3826.64303325505,9,25.15,25,742.235265672532,129,110.012616141164
Región del Libertador General Bernardo O'Higgins,Paredones,446,27340.14200031148,168,557.849,38,48.7,2,2,30,8.747,63,59.482,28,60.04,3,2.18,10,14.02,3,2.1,18,54.79,320,17515.74500013271,96,1904.735000031239,10,50.81,172,3995.568999999608,151,866.477,87,1358.850000154377,82,542.549999992269,249,295.498000001284
Región del Libertador General Bernardo O'Higgins,San Fernando,371,233933.6849999069,64,734.97,11,17.25,3,17,21,36.714,165,5247.961,58,1333.64,2,0.242,12,115.9,7,4.115,98,986.33,27,3800.639999988915,53,51765.1699999155,4,160.5,54,29747.42,62,2367.19,27,13307.21000000017,55,123434.3959999953,220,857.037000007002
Región del Libertador General Bernardo O'Higgins,Chépica,574,25134.94599998928,318,4358.2037634338,23,37.26,15,92.132,185,739.09,128,2551.7532939034,45,1436.69,5,0.44,13,113.28,6,28.73,61,248.94,23,3097.07,78,6769.34,9,116.24,78,1570.335,127,2153.584,8,87.98,80,985.896,398,747.98194265208
Región del Libertador General Bernardo O'Higgins,Chimbarongo,828,31695.0727999906,271,2565.9393801655,113,328.32,116,791.85,110,355.3004,410,7941.690501064683,42,1505.86711876042,2,1.6,48,464.7,18,143.5754,177,1276.14,52,106.42,12,9345.31,38,326.93,74,973.55,151,1167.861,20,236.09,150,2460.05,615,1703.879
Región del Libertador General Bernardo O'Higgins,Lolol,271,34349.84200007941,72,1201.22766549,17,70.66,9,549.950379749,35,278.3593417735,81,3644.285822785,46,2122.7706557376,0,0,23,205.5,3,2.11,57,291.722971571,52,5707.72819658996,69,9700.200164018863,3,21.5,129,5538.9498422915,56,1963.6021311472,17,1087.010000107955,66,1506.470000008842,167,457.794828808991
Región del Libertador General Bernardo O'Higgins,Nancagua,218,12157.24499999121,74,734.23,9,9.97,3,136,41,183.81,60,1989.7414532,80,1903.92889414079,0,0,3,82,1,0.05,46,204.92,8,22.1,19,4421.04,3,7.7,10,699.04,34,380.07752540752,4,86.85,32,826.49,154,469.297127242898
Región del Libertador General Bernardo O'Higgins,Palmilla,334,15734.69192757207,191,1913.93,10,27.3,5,34.1,73,278.2,83,2673.92410482886,44,3455.449736446791,0,0,8,42.8,2,3.9908831906,57,253.41,5,10,10,871.5,8,57.3,27,1595.211999999855,71,1609.523030239292,6,1243.6,51,1004.741984674,165,659.710188192669
Región del Libertador General Bernardo O'Higgins,Peralillo,271,22619.57822805228,123,1623.06908531824,12,28.2,4,123,76,326.979,94,3212.40589517114,51,3753.078482483162,0,0,3,10.3,3,4.6091168094,51,230.77528823854,12,343.1,12,921.43,13,111.96,44,4553.75494311978,90,3010.39396982827,15,21.8,57,3828.86281778564,160,515.859629298102
Región del Libertador General Bernardo O'Higgins,Placilla,245,9865.783200000102,56,565.14,10,32.28777777778,6,25.65,32,127.0662,156,2431.471,48,772.54,5,1.118,4,33.9,4,0.625,43,153.67000000006,11,44.43222222224,11,3632.34,0,0,4,6.04444444446,35,374.86,0,0,20,1425.26777777778,151,239.37077777778
Región del Libertador General Bernardo O'Higgins,Pumanque,198,20231.99400000589,38,339.15124919176,9,8.091,3,142.569620251,33,43.6976582265,56,683.604177215,17,1604.4793442624,0,0,3,40.40000000000001,2,1.1,70,457.61174019046,72,2741.443803226015,45,2480.742836141602,2,23,112,7855.575214588168,76,2134.1918688528,13,1086.839999977895,20,239.674197543358,124,349.821290338931
Región del Libertador General Bernardo O'Higgins,Santa Cruz,324,20201.20684445966,134,2430.5212365662,3,4.6,14,360.9,62,621.39,87,2674.0912528966,71,2840.302886929257,3,0.262,13,212.64,9,7.03,58,269.303,7,103.9,22,3750.19,2,4.2,32,1308.781,51,1069.20747459248,6,9.9,54,3913.67,151,620.317993475125
Región del Maule,Total Región,17400,1331819.793353982,5216,55258.2580000449,1943,6144.9810000014,308,4274.5399999979,4151,10252.8863999845,6676,87754.61100003593,1604,35980.296,151,47.6046,362,7659.2459999806,258,637.4391999999,2646,17649.5760000095,2488,336408.0290599437,1738,233753.9609933239,1631,23471.6410000008,6898,153102.6009999057,3707,82570.15309969896,1137,84553.07800014231,2255,162403.6500000565,12190,29897.24200085504
Región del Maule,Talca,345,8538.08957981796,110,952.08247674122,37,90.2313651744,11,230.8,157,608.03745250434,51,1105.368694781067,48,1278.7665006965,6,2.246,13,143.66022545292,16,8.773,34,330.5695224548,14,146.84720778342,9,165.2303957618,16,97.36846153842,82,1009.69403977778,111,1052.028685551968,15,25.914770481,63,914.6468838586,195,375.823897259726
Región del Maule,Constitución,384,95920.33383642357,93,132.487,85,139.54,1,0.5,145,52.9986,165,145.46,53,41.424,5,0.923,0,0,3,1.7,78,999.58,253,59594.95450162644,89,11811.16376395214,14,168.65,193,3863.608440628343,52,4968.809812360621,48,8791.421918906082,45,3003.689004741977,307,2203.423794207985
Región del Maule,Curepto,567,48701.05227521371,275,642.312929222525,95,247.609639602,3,56,66,68.611,61,319.6891891045,36,260.51,2,2.8,7,67.10811448795,2,0.3,95,334.25,162,24083.76124838879,199,10701.33829635443,7,68.55,275,3535.293471447062,100,636.826254846827,21,5889.895776129979,60,456.479514960964,426,1329.716840668681
Región del Maule,Empedrado,214,39541.54356125684,18,43.6,44,33.24,0,0,52,16.736,17,28.91,31,145.3186710962,0,0,0,0,1,0.3,18,28.234746248,131,19718.25276753613,42,3479.072745769771,5,461.615,100,2526.345893435709,61,5503.017201121083,47,6449.553315383562,24,358.356575228393,100,748.990645437986
Región del Maule,Maule,608,12584.41387938569,68,697.14268821472,48,122.41432531583,3,43.6,401,1573.54352692229,83,1177.651,63,925.11679095645,20,12.465,6,91.9954403832,10,16.68,38,327.726047463,26,705.532622380563,36,1560.151666206853,33,306.7711402022,104,1114.34927662143,186,1164.688007398665,18,1338.507872873109,62,941.760999860316,330,464.317474587061
Región del Maule,Pelarco,318,24382.08689803798,55,721.64366388738,14,104.8844544275,14,196.4524210528,95,381.94099813055,46,2524.11946982232,3,27.5,6,0.53,22,1117.61886248624,7,2,56,641.37857400124,32,4095.742467621305,23,2853.635040641189,118,4171.15363476344,97,3883.151491407801,34,1014.608643913081,14,815.280124854762,81,1233.058381579922,270,597.388669448454
Región del Maule,Pencahue,597,57817.95176508953,118,1163.808560675,4,3.7,3,148,287,642.698,102,3476.1635274111,106,3656.084311197,9,0.8039999999999999,4,49,2,2.05,78,758.6405931375,118,17591.56087446644,175,10497.26632699067,18,135.8232727276,168,3275.057585317654,236,7941.218215694833,79,4413.038588444453,120,2694.931672316848,450,1368.106236710441
Región del Maule,Río Claro,399,26097.42740546445,55,520.55,19,27.21,25,165.9,25,27.8628,177,6358.44387480634,44,1543.741643836,6,0.86,6,45.1,9,42.25,47,829.5799999999999,33,4423.664997280698,18,1898.523621940094,24,1243.13,144,3199.740995585961,100,2708.58556579802,6,1485.346139671046,55,523.514867552366,257,1053.422898993921
Región del Maule,San Clemente,1396,90752.66649711246,368,2756.14289867321,221,771.33199793967,36,468.866,415,656.45714303467,286,5815.082191886973,51,2240.758721072,38,6.227,167,2530.62965450624,16,52.211,335,2417.5756145726,147,12226.24122413467,197,37168.39905278764,500,6191.20247867746,283,3290.674467226268,382,5788.827497389479,83,3324.596876082096,143,2566.333426666536,1148,2481.109252462953
